seed,dataset_file,accuracy,f1,mcc,precision,recall,specificity,negative_predictive_value,prevalence,TP,FP,TN,FN,samples
7467074,regional_coloc_first0_10s_window50_10Hz.pkl,0.6323144104803493,0.7018413597733711,0.2991552819978487,0.5902322811197142,0.8655021834061135,0.39912663755458516,0.7479541734860884,0.5,991,688,457,154,2290
7467074,regional_coloc_first300_10s_window10_10Hz.pkl,0.7023809523809523,0.7165532879818595,0.406801020462062,0.683982683982684,0.7523809523809524,0.6523809523809524,0.7248677248677249,0.5,316,146,274,104,840
7467074,regional_coloc_first300_10s_window1_10Hz.pkl,0.7277777777777777,0.7439916405433646,0.45925469645003275,0.7021696252465484,0.7911111111111111,0.6644444444444444,0.7608142493638677,0.5,356,151,299,94,900
7467074,regional_coloc_first300_10s_window5_10Hz.pkl,0.7035714285714286,0.7121387283236994,0.40786605011241767,0.6921348314606741,0.7333333333333333,0.6738095238095239,0.7164556962025317,0.5,308,137,283,112,840
7467074,regional_coloc_first300_10s_window50_10Hz.pkl,0.6511904761904762,0.7163601161665053,0.3404556572375653,0.6035889070146819,0.8809523809523809,0.42142857142857143,0.7797356828193832,0.5,370,243,177,50,840
7467074,regional_coloc_first0_5s_window10_20Hz.pkl,0.6397824030274362,0.6952171302781669,0.30012627463647706,0.6024973985431842,0.8216650898770104,0.45789971617786185,0.7197026022304833,0.5,1737,1146,968,377,4228
7467074,regional_coloc_first0_5s_window50_20Hz.pkl,0.5749763481551561,0.689046547845648,0.22068259151010192,0.5432469304229195,0.9418164616840113,0.20813623462630085,0.7815275310834814,0.5,1991,1674,440,123,4228
7467074,regional_coloc_first300_5s_window10_20Hz.pkl,0.6214285714285714,0.6690946930280958,0.2536097494804947,0.5942698706099815,0.7654761904761904,0.4773809523809524,0.6705685618729097,0.5,643,439,401,197,1680
7467074,regional_coloc_first300_5s_window50_20Hz.pkl,0.5797619047619048,0.6887125220458554,0.22337801340446822,0.5469187675070029,0.9297619047619048,0.22976190476190475,0.7658730158730159,0.5,781,647,193,59,1680
7467074,regional_coloc_first0_5s_window1_20Hz.pkl,0.6494796594134342,0.6903468449644797,0.30995172310475055,0.6182634730538922,0.7814569536423841,0.5175023651844843,0.7030848329048843,0.5,1652,1020,1094,462,4228
7467074,regional_coloc_first300_5s_window1_20Hz.pkl,0.6738888888888889,0.704579768495219,0.35553699756981716,0.6439742410303588,0.7777777777777778,0.57,0.7194950911640954,0.5,700,387,513,200,1800
7467074,regional_coloc_first600_10s_window10_10Hz.pkl,0.6430555555555556,0.6415620641562064,0.28612104604213867,0.6442577030812325,0.6388888888888888,0.6472222222222223,0.6418732782369146,0.5,230,127,233,130,720
7467074,regional_coloc_first300_5s_window5_20Hz.pkl,0.6351190476190476,0.6663037561241154,0.27508564394181584,0.6138415245737212,0.7285714285714285,0.5416666666666666,0.6661786237188873,0.5,612,385,455,228,1680
7467074,regional_coloc_first0_5s_window5_20Hz.pkl,0.6485335856196783,0.6927212572373863,0.3101723620769915,0.615356355620867,0.7923368022705771,0.5047303689687795,0.7084993359893759,0.5,1675,1047,1067,439,4228
7467074,regional_coloc_first600_10s_window1_10Hz.pkl,0.6402777777777777,0.6326241134751773,0.280799410930194,0.6463768115942029,0.6194444444444445,0.6611111111111111,0.6346666666666667,0.5,223,122,238,137,720
7467074,regional_coloc_first600_10s_window5_10Hz.pkl,0.6388888888888888,0.632768361581921,0.2779322274854459,0.6436781609195402,0.6222222222222222,0.6555555555555556,0.6344086021505376,0.5,224,124,236,136,720
7467074,regional_coloc_first600_10s_window50_10Hz.pkl,0.5972222222222222,0.6643518518518519,0.21215628217388147,0.5694444444444444,0.7972222222222223,0.3972222222222222,0.6620370370370371,0.5,287,217,143,73,720
7467074,regional_coloc_first600_5s_window10_20Hz.pkl,0.5395833333333333,0.5758157389635317,0.08034778389206397,0.5338078291814946,0.625,0.45416666666666666,0.5477386934673367,0.5,450,393,327,270,1440
7467074,regional_coloc_first600_5s_window1_20Hz.pkl,0.54375,0.561122244488978,0.08777549268618104,0.5405405405405406,0.5833333333333334,0.5041666666666667,0.5475113122171946,0.5,420,357,363,300,1440
7467074,regional_coloc_first600_5s_window5_20Hz.pkl,0.5416666666666666,0.5663600525624178,0.0838790932256023,0.5374064837905237,0.5986111111111111,0.4847222222222222,0.5470219435736677,0.5,431,371,349,289,1440
7467074,regional_coloc_first60_10s_window1_10Hz.pkl,0.7071428571428572,0.6962962962962963,0.41534662694287106,0.7230769230769231,0.6714285714285714,0.7428571428571429,0.6933333333333334,0.5,141,54,156,69,420
7467074,regional_coloc_first60_10s_window10_10Hz.pkl,0.735632183908046,0.7325581395348837,0.47138894206299853,0.7411764705882353,0.7241379310344828,0.7471264367816092,0.7303370786516854,0.5,126,44,130,48,348
7467074,regional_coloc_first600_5s_window50_20Hz.pkl,0.5590277777777778,0.6666666666666666,0.15462854178741514,0.5358649789029536,0.8819444444444444,0.2361111111111111,0.6666666666666666,0.5,635,550,170,85,1440
7467074,regional_coloc_first60_10s_window50_10Hz.pkl,0.6666666666666666,0.7156862745098039,0.35511387321247845,0.6239316239316239,0.8390804597701149,0.4942528735632184,0.7543859649122807,0.5,146,88,86,28,348
7467074,regional_coloc_first60_5s_window10_20Hz.pkl,0.6350574712643678,0.6801007556675063,0.2815077916706755,0.6053811659192825,0.7758620689655172,0.4942528735632184,0.688,0.5,270,176,172,78,696
