seed,dataset_file,accuracy,f1,mcc,precision,recall,specificity,negative_predictive_value,prevalence,TP,FP,TN,FN,samples
7467074,long_distance_coloc_first60_5s_window1_10Hz.pkl,0.5661458333333333,0.6029551954242135,0.13462608405176552,0.5557996485061512,0.6588541666666666,0.4734375,0.5812020460358056,0.5,1265,1011,909,655,3840
7467074,long_distance_coloc_first60_5s_window10_10Hz.pkl,0.559375,0.6083333333333333,0.12264447262990154,0.5475,0.684375,0.434375,0.5791666666666667,0.5,1314,1086,834,606,3840
7467074,long_distance_coloc_first60_5s_window5_10Hz.pkl,0.5614583333333333,0.603017444601603,0.12570281675547754,0.5508182601205857,0.6661458333333333,0.45677083333333335,0.577733860342556,0.5,1279,1043,877,641,3840
7467074,long_distance_coloc_first300_5s_window5_10Hz.pkl,0.6023584905660377,0.6481472893382182,0.2120243600296211,0.5812193296182318,0.7324947589098533,0.4722222222222222,0.6383732464219923,0.5,6988,5035,4505,2552,19080
7467074,long_distance_coloc_first300_5s_window1_10Hz.pkl,0.6037974683544304,0.646793304495016,0.21403504585751373,0.5834747200542925,0.7255274261603376,0.4820675105485232,0.6372002230897936,0.5,6878,4910,4570,2602,18960
7467074,long_distance_coloc_first300_5s_window10_10Hz.pkl,0.5974842767295597,0.6510676965015901,0.2048702926136472,0.57457898957498,0.7510482180293501,0.4439203354297694,0.640695915279879,0.5,7165,5305,4235,2375,19080
7467074,long_distance_coloc_first600_5s_window1_10Hz.pkl,0.622275641025641,0.6661000141663125,0.253438878565303,0.5968519928915968,0.753525641025641,0.491025641025641,0.6657974793568013,0.5,11755,7940,7660,3845,31200
7467074,long_distance_coloc_first600_5s_window10_10Hz.pkl,0.6137553418803419,0.6638618349178308,0.2383495910062815,0.5876301386774206,0.7628205128205128,0.46469017094017095,0.6620747393256716,0.5,14280,10021,8699,4440,37440
7467074,long_distance_coloc_first600_5s_window5_10Hz.pkl,0.6185630341880342,0.6618360919703535,0.24529552487279593,0.5944026200501893,0.7465277777777778,0.4905982905982906,0.6593438150621006,0.5,13975,9536,9184,4745,37440
7467074,long_distance_coloc_first900_5s_window5_10Hz.pkl,0.6108585858585859,0.6446197131128638,0.2258308867538635,0.5931584755114166,0.7058585858585859,0.5158585858585859,0.6368624516772665,0.5,13976,9586,10214,5824,39600
7467074,long_distance_coloc_first900_5s_window1_10Hz.pkl,0.606,0.6438471736772328,0.21695663087600928,0.587420277105784,0.7122666666666667,0.4997333333333333,0.6346088723332205,0.5,16026,11256,11244,6474,45000
7467074,long_distance_coloc_first900_5s_window10_10Hz.pkl,0.6066919191919192,0.6483007790448233,0.2196203520355175,0.5862773126403921,0.725,0.48838383838383836,0.6397618260006616,0.5,14355,10130,9670,5445,39600
7467074,long_distance_coloc_first0_10s_window10_10Hz.pkl,0.666414406023208,0.6972616007748526,0.3399629047489611,0.6382423109162422,0.7683083013156363,0.5645205107307797,0.7090076038214077,0.5,19797,11221,14546,5970,51534
7467074,long_distance_coloc_first300_10s_window1_10Hz.pkl,0.6559071729957806,0.6614075150508615,0.3119790464624558,0.6510012259910094,0.6721518987341772,0.639662447257384,0.6611426079372001,0.5,3186,1708,3032,1554,9480
7467074,long_distance_coloc_first300_10s_window10_10Hz.pkl,0.6540880503144654,0.6648385131017672,0.3088121898601442,0.6447990543735225,0.6861635220125786,0.6220125786163522,0.6646505376344086,0.5,3273,1803,2967,1497,9540
7467074,long_distance_coloc_first300_10s_window5_10Hz.pkl,0.6539832285115303,0.660076202244877,0.30816454026363543,0.6486541185994738,0.6719077568134172,0.6360587002096436,0.659708632311372,0.5,3205,1736,3034,1565,9540
7467074,long_distance_coloc_first300_10s_window50_10Hz.pkl,0.609958071278826,0.6829143587558586,0.2477001736940505,0.5753050969131371,0.840041928721174,0.379874213836478,0.7036893203883495,0.5,4007,2958,1812,763,9540
7467074,long_distance_coloc_first0_10s_window50_10Hz.pkl,0.6089377886443901,0.6952748166628865,0.2644265020213684,0.5695352754657154,0.892265300578259,0.32561027671052123,0.7513881425756762,0.5,22991,17377,8390,2776,51534
7467074,long_distance_coloc_first0_10s_window1_10Hz.pkl,0.6672214003944773,0.6865116999245167,0.3370046586728371,0.6488968570487724,0.7287557527942143,0.6056870479947403,0.6906892835387283,0.5,17735,9596,14740,6601,48672
7467074,long_distance_coloc_first0_10s_window5_10Hz.pkl,0.6706446229673614,0.69678618003823,0.3464788759011113,0.6455478318437603,0.7568595490355882,0.5844296968991346,0.7061995873194523,0.5,19502,10708,15059,6265,51534
7467074,long_distance_coloc_first300_5s_window10_20Hz.pkl,0.5955974842767295,0.6477677348671597,0.20017947432726832,0.5737506065016982,0.7437106918238994,0.44748427672955976,0.6358355674709563,0.5,7095,5271,4269,2445,19080
7467074,long_distance_coloc_first300_5s_window1_20Hz.pkl,0.607753164556962,0.6383309828332442,0.21865493175039127,0.5921681855093386,0.6922995780590717,0.5232067510548524,0.6296813507680589,0.5,6563,4520,4960,2917,18960
7467074,long_distance_coloc_first600_10s_window10_10Hz.pkl,0.6749465811965812,0.688348271446863,0.3511944191589129,0.661091982292179,0.717948717948718,0.6319444444444444,0.6914085330216247,0.5,6720,3445,5915,2640,18720
7467074,long_distance_coloc_first300_5s_window50_20Hz.pkl,0.5621069182389937,0.6725455614344503,0.16825466516941961,0.5370892018779343,0.89937106918239,0.2248427672955975,0.6908212560386473,0.5,8580,7395,2145,960,19080
7467074,long_distance_coloc_first300_5s_window5_20Hz.pkl,0.6038784067085954,0.641222823507073,0.2124104369275581,0.5859795245531841,0.7079664570230608,0.49979035639413,0.6311887741593858,0.5,6754,4772,4768,2786,19080
7467074,long_distance_coloc_first600_10s_window1_10Hz.pkl,0.6838461538461539,0.6922116824762856,0.3682367612429038,0.6743677042801557,0.711025641025641,0.6566666666666666,0.69441431670282,0.5,5546,2678,5122,2254,15600
7467074,long_distance_coloc_first600_10s_window5_10Hz.pkl,0.6785790598290599,0.6877691868610866,0.3577785779278316,0.6686509938452225,0.7080128205128206,0.6491452991452992,0.6897491202179589,0.5,6627,3284,6076,2733,18720
7467074,long_distance_coloc_first600_10s_window50_10Hz.pkl,0.6117521367521368,0.6867241379310345,0.2545562263205735,0.5755780346820809,0.851068376068376,0.37243589743589745,0.714344262295082,0.5,7966,5874,3486,1394,18720
7467074,long_distance_coloc_first60_10s_window10_10Hz.pkl,0.60625,0.6142857142857143,0.21268470233821626,0.602,0.6270833333333333,0.5854166666666667,0.6108695652173913,0.5,602,398,562,358,1920
7467074,long_distance_coloc_first60_10s_window1_10Hz.pkl,0.6067708333333334,0.6036745406824147,0.2135677385386479,0.6084656084656085,0.5989583333333334,0.6145833333333334,0.6051282051282051,0.5,575,370,590,385,1920
7467074,long_distance_coloc_first60_10s_window50_10Hz.pkl,0.5890625,0.6516556291390728,0.19087686641624432,0.5655172413793104,0.76875,0.409375,0.6390243902439025,0.5,738,567,393,222,1920
7467074,long_distance_coloc_first60_10s_window5_10Hz.pkl,0.60625,0.6058394160583942,0.21250046115601504,0.6064718162839249,0.6052083333333333,0.6072916666666667,0.606029106029106,0.5,581,377,583,379,1920
7467074,long_distance_coloc_first60_5s_window10_20Hz.pkl,0.5635416666666667,0.608044901777362,0.1304924042419105,0.5517826825127334,0.6770833333333334,0.45,0.5822102425876011,0.5,1300,1056,864,620,3840
