k,mcc,f1,tp,fp,tn,fn,total
1,0.1634185010834069,0.6893005252972076,12466,11032,1072,206,24776
3,0.21174338213332852,0.6971425391614035,12528,10741,1363,144,24776
5,0.20533724418429347,0.69577737782085,12564,10879,1225,108,24776
7,0.2104783420904055,0.6965427519583691,12582,10873,1231,90,24776
9,0.21568495558223263,0.6972806993277822,12603,10874,1230,69,24776
11,0.21825011745611933,0.6976409745844742,12613,10874,1230,59,24776
13,0.21902404336045544,0.6977490183065096,12616,10874,1230,56,24776
