k,mcc,f1,tp,fp,tn,fn,total
1,0.6957313386323217,0.8508325227441781,7435,1280,7100,1327,17142
3,0.7562413838038297,0.8793212904715184,7618,947,7433,1144,17142
5,0.7676435015740795,0.8860005725737189,7737,966,7414,1025,17142
7,0.7714759809702364,0.8879990847729092,7762,958,7422,1000,17142
9,0.7773902144494541,0.8912336736439856,7813,958,7422,949,17142
11,0.7782042364540968,0.8916761687571265,7820,958,7422,942,17142
13,0.7801834477706058,0.8927493307512673,7837,958,7422,925,17142
