k,mcc,f1,tp,fp,tn,fn,total
1,0.1808102848828625,0.6925448652067357,8760,7660,796,118,17334
3,0.21702767603492387,0.6986552080846662,8780,7476,980,98,17334
5,0.21354181995744298,0.6978311724356687,8800,7543,913,78,17334
7,0.21457470532113285,0.6979860450364732,8803,7543,913,75,17334
9,0.21859047708927842,0.6985774854380473,8815,7544,912,63,17334
11,0.21964164387664095,0.6987321711568938,8818,7544,912,60,17334
13,0.22175493639611932,0.6990414323061079,8824,7544,912,54,17334
