k,mcc,f1,tp,fp,tn,fn,total
1,0.4570115857106302,0.7638260185002952,7762,3966,4242,834,16804
3,0.5397417140285923,0.7950273196651462,7930,3423,4785,666,16804
5,0.5406541048632378,0.7955504792173611,8010,3531,4677,586,16804
7,0.5455311973453799,0.7974375527635695,8029,3512,4696,567,16804
9,0.5511303205713375,0.799603567888999,8068,3516,4692,528,16804
11,0.5536581216003001,0.800574456494825,8083,3514,4694,513,16804
13,0.5552099088031844,0.8011681433450477,8093,3514,4694,503,16804
