k,mcc,f1,tp,fp,tn,fn,total
1,0.1647409538361901,0.6895007463924365,12471,11031,1073,201,24776
3,0.2127924604660946,0.6973043647592289,12533,10742,1362,139,24776
5,0.20735353645453558,0.6960637767812655,12573,10881,1223,99,24776
7,0.2135411957597637,0.6969730507442864,12595,10875,1229,77,24776
9,0.2172656934441384,0.6974943304386304,12610,10876,1228,62,24776
11,0.21984844881885943,0.6978544569785445,12620,10876,1228,52,24776
13,0.22010797645347457,0.6978904586800851,12621,10876,1228,51,24776
