k,mcc,f1,tp,fp,tn,fn,total
1,0.32891949641886,0.7236856290652963,10069,7213,2936,476,20694
3,0.401265482902288,0.7448467762603889,10172,6596,3553,373,20694
5,0.39835379801585513,0.7434995466908432,10251,6779,3370,294,20694
7,0.4035699999801426,0.7449615774974626,10276,6767,3382,269,20694
9,0.4058310811068557,0.7455454150369405,10293,6774,3375,252,20694
11,0.40676081447454826,0.7457995365005794,10298,6773,3376,247,20694
13,0.4053250536643578,0.7454091057263935,10290,6774,3375,255,20694
