k,mcc,f1,tp,fp,tn,fn,total
1,0.686635220517361,0.8466681524403833,3799,681,3611,695,8786
3,0.7291471971950901,0.8666218336695808,3866,562,3730,628,8786
5,0.75104193561883,0.8788919667590027,3966,565,3727,528,8786
7,0.7583552179130614,0.882827167310878,3997,564,3728,497,8786
9,0.7670978135993494,0.8874958759485319,4035,564,3728,459,8786
11,0.7694091779943718,0.8887180050532791,4045,564,3728,449,8786
13,0.7763705805179171,0.8923683346107523,4075,564,3728,419,8786
