duration,chunk_size,window_size,hz,k,mcc
600,5,50,60,1.0,0.1013139058502625
600,5,50,60,3.0,0.2174195037678951
600,5,50,60,5.0,0.2392180617848815
600,5,50,60,7.0,0.2559623009331688
600,5,50,60,9.0,0.2578537401552946
600,5,50,60,11.0,0.2607029072163985
600,5,50,60,13.0,0.2683725052416183
300,5,5,40,1.0,0.2358705056595944
300,5,5,40,3.0,0.3142777377264751
300,5,5,40,5.0,0.3408486994216525
300,5,5,40,7.0,0.3521192913206856
300,5,5,40,9.0,0.3673185660582004
300,5,5,40,11.0,0.3747192391191543
300,5,5,40,13.0,0.3824758703048811
0,10,1,10,1.0,0.3049235751479414
0,10,1,10,3.0,0.4249181093815907
0,10,1,10,5.0,0.4238082615342948
0,10,1,10,7.0,0.4411862320730433
0,10,1,10,9.0,0.4463367575999717
0,10,1,10,11.0,0.4542953056056489
0,10,1,10,13.0,0.460908289525928
300,60,150,60,1.0,0.5421913572727663
300,60,150,60,3.0,0.530222435914942
300,60,150,60,5.0,0.5554776343664812
300,60,150,60,7.0,0.561386487671582
300,60,150,60,9.0,0.5934541175600319
300,60,150,60,11.0,0.5934541175600319
300,60,150,60,13.0,0.5934541175600319
900,5,1,60,1.0,0.0883506231072637
900,5,1,60,3.0,0.1992886737618497
900,5,1,60,5.0,0.1679201526192888
900,5,1,60,7.0,0.1632128877560213
900,5,1,60,9.0,0.1662194297196808
900,5,1,60,11.0,0.1662194297196808
900,5,1,60,13.0,0.1609555610904344
600,60,10,60,1.0,0.6730891622507389
600,60,10,60,3.0,0.6780594775568372
600,60,10,60,5.0,0.7069396053544554
600,60,10,60,7.0,0.7157180431350186
600,60,10,60,9.0,0.7349347511450695
600,60,10,60,11.0,0.7349347511450695
600,60,10,60,13.0,0.7409043766307472
900,20,10,60,1.0,0.2537967313265059
900,20,10,60,3.0,0.2853633534134367
900,20,10,60,5.0,0.2815561259184955
900,20,10,60,7.0,0.2531312467957668
900,20,10,60,9.0,0.2487309417598494
900,20,10,60,11.0,0.2410102428787884
900,20,10,60,13.0,0.2354788055632853
600,60,50,40,1.0,0.676636386741159
600,60,50,40,3.0,0.6775260979864887
600,60,50,40,5.0,0.7026649489049862
600,60,50,40,7.0,0.7019976381881706
600,60,50,40,9.0,0.714059421697314
600,60,50,40,11.0,0.7060063680150497
600,60,50,40,13.0,0.7040005407030977
60,60,150,60,1.0,0.3428899922662744
60,60,150,60,3.0,0.3428899922662744
60,60,150,60,5.0,0.3428899922662744
60,60,150,60,7.0,0.3428899922662744
60,60,150,60,9.0,0.3428899922662744
60,60,150,60,11.0,0.3428899922662744
60,60,150,60,13.0,0.3428899922662744
0,60,100,60,1.0,0.5743653912727383
0,60,100,60,3.0,0.6273625330826572
0,60,100,60,5.0,0.6393615968092974
0,60,100,60,7.0,0.6396803962588022
0,60,100,60,9.0,0.650250137249985
0,60,100,60,11.0,0.6486424303140356
0,60,100,60,13.0,0.6537950648728309
900,20,50,40,1.0,0.3823010344504653
900,20,50,40,3.0,0.4658896269718907
900,20,50,40,5.0,0.4785182072269618
900,20,50,40,7.0,0.4836970251113944
900,20,50,40,9.0,0.4891077031012505
900,20,50,40,11.0,0.4964320529897365
900,20,50,40,13.0,0.5000068330641116
900,20,100,40,1.0,0.3250394165805554
900,20,100,40,3.0,0.4111711961585959
900,20,100,40,5.0,0.4284895979185143
900,20,100,40,7.0,0.4351484798159928
900,20,100,40,9.0,0.4436116146594303
900,20,100,40,11.0,0.4491352408666727
900,20,100,40,13.0,0.4503959138919191
600,5,10,40,1.0,0.2439426413499288
600,5,10,40,3.0,0.3815890049696556
600,5,10,40,5.0,0.3958634564336663
600,5,10,40,7.0,0.4166151191547509
600,5,10,40,9.0,0.432611783514903
600,5,10,40,11.0,0.4440988911480267
600,5,10,40,13.0,0.4504403395335759
900,5,10,20,1.0,0.2137382074869165
900,5,10,20,3.0,0.3794119989329694
900,5,10,20,5.0,0.3720800594756185
900,5,10,20,7.0,0.3941444016945969
900,5,10,20,9.0,0.4075967638293266
900,5,10,20,11.0,0.4151312564496058
900,5,10,20,13.0,0.4224438486320286
60,30,1,20,1.0,0.4659050143994906
60,30,1,20,3.0,0.3228187049284444
60,30,1,20,5.0,0.3228187049284444
60,30,1,20,7.0,0.3228187049284444
60,30,1,20,9.0,0.3228187049284444
60,30,1,20,11.0,0.3228187049284444
60,30,1,20,13.0,0.3228187049284444
900,5,1,10,1.0,0.2103156592091259
900,5,1,10,3.0,0.367076331742853
900,5,1,10,5.0,0.3593955240238606
900,5,1,10,7.0,0.374752814593202
900,5,1,10,9.0,0.3837297524105666
900,5,1,10,11.0,0.3913361063409613
900,5,1,10,13.0,0.3958927767687508
0,5,150,40,1.0,0.1748252045681969
0,5,150,40,3.0,0.2635890730479175
0,5,150,40,5.0,0.2284662858441541
0,5,150,40,7.0,0.2380476964499026
0,5,150,40,9.0,0.2374861592523482
0,5,150,40,11.0,0.2419212949522167
0,5,150,40,13.0,0.2443726490326243
600,20,1,20,1.0,0.4531130939612867
600,20,1,20,3.0,0.4737456824617388
600,20,1,20,5.0,0.4887067168163036
600,20,1,20,7.0,0.4862088745159523
600,20,1,20,9.0,0.4887067168163036
600,20,1,20,11.0,0.4843366776192674
600,20,1,20,13.0,0.4884984932719269
900,20,1,40,1.0,0.4164267120752978
900,20,1,40,3.0,0.448771862810092
900,20,1,40,5.0,0.456952552170616
900,20,1,40,7.0,0.4538239783012325
900,20,1,40,9.0,0.457351048090171
900,20,1,40,11.0,0.4598209741452582
900,20,1,40,13.0,0.4654698489149841
300,60,150,10,1.0,0.5366312344001907
300,60,150,10,3.0,0.5276901593083351
300,60,150,10,5.0,0.5522261474742295
300,60,150,10,7.0,0.556147005731335
300,60,150,10,9.0,0.5893573893500029
300,60,150,10,11.0,0.5893573893500029
300,60,150,10,13.0,0.5893573893500029
900,20,10,10,1.0,0.4570738362365299
900,20,10,10,3.0,0.5206011931855861
900,20,10,10,5.0,0.5366397856150554
900,20,10,10,7.0,0.5458353449368099
900,20,10,10,9.0,0.5532630384794104
900,20,10,10,11.0,0.5548978451079503
900,20,10,10,13.0,0.5583543451684679
600,60,10,10,1.0,0.7164934059016905
600,60,10,10,3.0,0.7265143745397866
600,60,10,10,5.0,0.7503236604836486
600,60,10,10,7.0,0.7489896130321998
600,60,10,10,9.0,0.7563440081960694
600,60,10,10,11.0,0.7556736838723873
600,60,10,10,13.0,0.7590288374417117
600,30,10,20,1.0,0.5513786152381726
600,30,10,20,3.0,0.5714027871716882
600,30,10,20,5.0,0.5851094874519056
600,30,10,20,7.0,0.5844846259389962
600,30,10,20,9.0,0.591995021018233
600,30,10,20,11.0,0.5913681359145069
600,30,10,20,13.0,0.5973312365217642
0,10,1,60,1.0,0.3018950776741746
0,10,1,60,3.0,0.40613281351752
0,10,1,60,5.0,0.4014287405353762
0,10,1,60,7.0,0.4098566754651341
0,10,1,60,9.0,0.4133288893225301
0,10,1,60,11.0,0.4164320175141678
