k,mcc,f1,tp,fp,tn,fn,total
1,0.6453485745060789,0.8230079042939543,7705,1519,7651,1795,18670
3,0.7205897972301434,0.8598241098241098,8017,1131,8039,1483,18670
5,0.7402811401853423,0.8714823255074461,8222,1147,8023,1278,18670
7,0.7450569065148247,0.8740740740740741,8260,1140,8030,1240,18670
9,0.7508877553944527,0.8773540117107137,8316,1141,8029,1184,18670
11,0.7516321240154704,0.877768403290445,8323,1141,8029,1177,18670
13,0.7565346509953026,0.8804839558127301,8369,1141,8029,1131,18670
