k,mcc,f1,tp,fp,tn,fn,total
1,0.301570668687426,0.6986526187822916,17241,10681,9872,4192,41986
3,0.41387282340331016,0.7395742198891805,17752,8821,11732,3681,41986
5,0.4067469318698893,0.7394737918900118,18072,9373,11180,3361,41986
7,0.4224260217042645,0.7460301240522368,18252,9246,11307,3181,41986
9,0.42885680646853,0.7492472943282611,18415,9308,11245,3018,41986
11,0.43418138846153526,0.7515543093990004,18495,9290,11263,2938,41986
13,0.4356486084170261,0.752243290429981,18527,9298,11255,2906,41986
