k,mcc,f1,tp,fp,tn,fn,total
1,0.15377157332200414,0.6878868744669729,12502,11175,929,170,24776
3,0.1994202428437746,0.694757796947578,12564,10932,1172,108,24776
5,0.19616560707885203,0.6939022711631108,12603,11050,1054,69,24776
7,0.19801816514795442,0.6941821085382307,12606,11041,1063,66,24776
9,0.20313616906521437,0.6948457580010458,12625,11042,1062,47,24776
11,0.20475361799705574,0.6950635628198778,12630,11040,1064,42,24776
13,0.20531269939920369,0.6951353731014748,12632,11040,1064,40,24776
