k,mcc,f1,tp,fp,tn,fn,total
1,0.5045801104263595,0.7438066992323796,8527,2347,9149,3527,23550
3,0.581537066071631,0.7755412417248166,8669,1633,9863,3385,23550
5,0.586861575488989,0.7810005321979776,8805,1689,9807,3249,23550
7,0.5913409805653187,0.7835681999468227,8841,1671,9825,3213,23550
9,0.5909842782942891,0.783410138248848,8840,1674,9822,3214,23550
11,0.5898928557557794,0.7826549614259112,8826,1674,9822,3228,23550
13,0.5905794673732737,0.7831597606913362,8836,1675,9821,3218,23550
