k,mcc,f1,tp,fp,tn,fn,total
1,0.252621895678732,0.7062208713272543,8713,7084,1372,165,17334
3,0.297010825037391,0.7161049916055854,8744,6799,1657,134,17334
5,0.2937392991648626,0.7148846106882657,8782,6909,1547,96,17334
7,0.29531536601009867,0.715210224266352,8786,6905,1551,92,17334
9,0.2996170174434552,0.7160112245312945,8803,6908,1548,75,17334
11,0.2998931489318647,0.7160634404229361,8804,6908,1548,74,17334
13,0.30099955172619197,0.7162722615272018,8808,6908,1548,70,17334
