k,mcc,f1,tp,fp,tn,fn,total
1,0.3913382973346896,0.705162418330726,15326,6641,14000,6175,42142
3,0.49664396815075595,0.7476537812730167,15734,4854,15787,5767,42142
5,0.5000841105729417,0.7531402324709411,16069,5102,15539,5432,42142
7,0.5144999273062661,0.7607195489952981,16260,4988,15653,5241,42142
9,0.5151634403794139,0.7614443198804185,16301,5014,15627,5200,42142
11,0.5179020287684876,0.7629207712778374,16341,4996,15645,5160,42142
13,0.5197250518005757,0.7640790056665812,16383,4999,15642,5118,42142
