k,mcc,f1,tp,fp,tn,fn,total
1,0.6009341884726241,0.8185328185328186,3286,1161,2271,296,7014
3,0.6591230397284836,0.8429668807454981,3347,1012,2420,235,7014
5,0.675783445329159,0.8500249128051819,3412,1034,2398,170,7014
7,0.6843499010222617,0.8535585641535213,3436,1033,2399,146,7014
9,0.6874880782616191,0.8548387096774194,3445,1033,2399,137,7014
11,0.6888860747838504,0.855406746031746,3449,1033,2399,133,7014
13,0.6913374210830747,0.85639945483831,3456,1033,2399,126,7014
