k,mcc,f1,tp,fp,tn,fn,total
1,0.32741005847889815,0.7232304244089365,10003,7114,3035,542,20694
3,0.40079810861921433,0.7449419568822554,10107,6483,3666,438,20694
5,0.39724236749587827,0.7435373156126771,10182,6661,3488,363,20694
7,0.40313433236830193,0.7452296690867963,10213,6651,3498,332,20694
9,0.4059609792836592,0.7459999271057332,10234,6658,3491,311,20694
11,0.407444028408019,0.7464198520569909,10242,6656,3493,303,20694
13,0.4067879669659759,0.746237107766318,10238,6656,3493,307,20694
