k,mcc,f1,tp,fp,tn,fn,total
1,0.3788541258783698,0.704019936269303,17233,7911,14959,6579,46682
3,0.48878249996533124,0.7488261427999916,17782,5899,16971,6030,46682
5,0.4896375107595933,0.7526850447680579,18116,6209,16661,5696,46682
7,0.5046071644984246,0.7600299028158485,18300,6044,16826,5512,46682
9,0.508878239402418,0.7628981188303222,18432,6077,16793,5380,46682
11,0.5127516068225919,0.7649843901833895,18500,6055,16815,5312,46682
13,0.5153471202070888,0.7665434724258253,18563,6058,16812,5249,46682
