k,mcc,f1,tp,fp,tn,fn,total
1,0.16374465031371066,0.6893501755161834,12470,11037,1067,202,24776
3,0.21193679805212196,0.6971492142956474,12533,10750,1354,139,24776
5,0.20583482790765098,0.6958206476612233,12570,10888,1216,102,24776
7,0.21126474282522817,0.6966217524831918,12589,10882,1222,83,24776
9,0.21626286105064213,0.6973233049441433,12609,10883,1221,63,24776
11,0.21833062986322174,0.6976114121419883,12617,10883,1221,55,24776
13,0.21884985857811104,0.6976834190302427,12619,10883,1221,53,24776
