k,mcc,f1,tp,fp,tn,fn,total
1,0.6468041240266157,0.822714949651433,8497,1614,8535,2048,20694
3,0.720177917474596,0.8585883154156735,8825,1187,8962,1720,20694
5,0.737649535348277,0.869326923076923,9041,1214,8935,1504,20694
7,0.7459003534963957,0.8739399166307317,9120,1206,8943,1425,20694
9,0.7515898768127597,0.8771795729231358,9181,1207,8942,1364,20694
11,0.7539752689025632,0.8784957526009354,9204,1205,8944,1341,20694
13,0.7587469000524077,0.8811654922871834,9254,1205,8944,1291,20694
