k,mcc,f1,tp,fp,tn,fn,total
1,0.36388179504621176,0.7083365979785317,18081,9159,13711,5731,46682
3,0.4803245264256533,0.7552348898607388,18737,7070,15800,5075,46682
5,0.48054656719355027,0.7584125786662961,19101,7458,15412,4711,46682
7,0.49551624024355867,0.7652816104504576,19274,7285,15585,4538,46682
9,0.5012064169937724,0.7686162850476529,19436,7326,15544,4376,46682
11,0.5058508632085043,0.770935376836783,19517,7303,15567,4295,46682
13,0.5096292169787652,0.7729584795552226,19603,7307,15563,4209,46682
