dataset_file,distance_function,radius,n_segment_ids,n_ids,n_calculated_pairs,duration,trainride_start_seconds,window_size,sampling_rate,threshold,test_frac,seed,metric,n_runs,n_workers,mcc_train,f1_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,mcc_test,f1_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,n_pairs_test,mrr_test,mcc_train_std,f1_train_std,accuracy_train_std,precision_train_std,recall_train_std,TP_train_std,FP_train_std,TN_train_std,FN_train_std,mcc_test_std,f1_test_std,accuracy_test_std,precision_test_std,recall_test_std,TP_test_std,FP_test_std,TN_test_std,FN_test_std,n_pairs_test_std,mrr_test_std,threshold_std,total_distance_time_s,total_cpu_hours
all_coloc_first60_5s_window150_60Hz.pkl,dtw,1,308,555,153735,5,60,150,60.0,302.9961043348676,0.3,magtrack,mcc,10,2,0.2875725931370517,0.23488167987061,0.997500671670356,0.5606750663107689,0.14946115736908255,58.0,47.4,150607.8,330.4,0.31609379477790667,0.24531497225957172,0.9943956037845029,0.6853066899274329,0.15344960163658822,25.6,14.0,27211.2,140.0,27390.8,0.485576489765421,0.029254405319697842,0.026241794522840676,0.0001246969295397574,0.07444865399837501,0.01931399812418716,7.536577472566709,15.926079241294763,4491.711874107687,16.632498309033434,0.06528797435228818,0.06709465176347404,0.00045563048148426283,0.1675698834916503,0.048895160508219085,8.754427451295715,9.50789145920377,1913.5492050114624,13.942740046346701,1936.542733842969,0.05051963228363245,16.748547990716368,0.496,39.9336
all_coloc_first60_5s_window100_60Hz.pkl,dtw,1,308,555,153735,5,60,100,60.0,323.0691532359284,0.3,magtrack,mcc,10,2,0.29279883976403825,0.23619052464886586,0.9975107891639714,0.5891886667250391,0.15114695429565464,58.6,46.4,150608.8,329.8,0.2990989041543631,0.22732456856441483,0.9943263598301874,0.6789633626114981,0.1408021209168515,23.6,13.8,27211.4,142.0,27390.8,0.4885976285098744,0.02715561508772946,0.03758937118781468,0.00012654481873860924,0.11123977516680246,0.030339293020931166,11.663618649458668,23.4571950582332,4494.848357842565,19.848425630260955,0.06242921108284777,0.06623929007676733,0.00041719740645352645,0.17805683955653062,0.04638611801104707,8.56971411425142,9.05317623820502,1914.3744774729944,12.806248474865697,1936.542733842969,0.04889901339355129,24.808607468802414,0.511,39.5952
all_coloc_first60_5s_window1_60Hz.pkl,dtw,1,315,565,159330,5,60,1,60.0,519.0086601097782,0.3,magtrack,mcc,10,2,0.20880791427628878,0.1961208865818833,0.9968740636519362,0.2989233577893353,0.15353883732787468,60.4,156.0,157021.8,335.4,0.23442441091614602,0.1832212417708879,0.9937535562662465,0.5045924656412273,0.11839254891415034,19.6,31.0,27771.2,144.6,27966.4,0.47112280428387016,0.02691465426439095,0.027293514920966464,0.0003826489782848518,0.068586560256467,0.03546233773565286,12.224565431948902,69.67352438336961,5293.8204314086815,25.98538050519946,0.05639111388719981,0.033225461139267026,0.0010955970981960574,0.20413096949004006,0.02174208566359495,4.963869458396342,32.43763246601083,2202.9665816802576,15.363593329686907,2231.8205662642326,0.04505289007106999,53.61008424215515,0.486,41.0116
all_coloc_first60_5s_window5_60Hz.pkl,dtw,1,309,557,154846,5,60,5,60.0,458.6372503594242,0.3,magtrack,mcc,10,2,0.24658820131276699,0.19777604499501844,0.9973041946740298,0.5140679882787142,0.13240927779719142,51.8,69.0,152214.8,342.2,0.18455291182405525,0.14057290615131596,0.9935816433678687,0.43143215180809164,0.09228150463178025,15.4,30.0,27163.4,146.6,27355.4,0.4740604387639877,0.023577087837886285,0.04111513924596886,0.00021137884415407398,0.19230431001532622,0.040508255078661674,15.03196593929084,46.12374659543607,4397.002269728775,27.180139808323283,0.045275216308736724,0.048673616298962316,0.0008878307637269008,0.1783514581083153,0.04052989764276879,7.8,27.099815497526915,1825.9507222266432,12.555476892575605,1858.9418603065562,0.04070259436215784,62.11828223644673,0.505,40.5401
all_coloc_first60_5s_window10_60Hz.pkl,dtw,1,309,557,154846,5,60,10,60.0,432.9369261746271,0.3,magtrack,mcc,10,2,0.26379471302334306,0.20828117977172855,0.9974323004236052,0.5506586753445667,0.13286058812299384,52.4,50.6,152233.2,341.6,0.20775524786905883,0.15586445290380774,0.9937620503189388,0.4978951493986098,0.09997946982783451,16.4,25.4,27168.0,145.6,27355.4,0.4737006874758832,0.023616696332814636,0.035716292751320336,0.0001497041015634423,0.1064560552489875,0.03176189081796787,12.92439553712281,31.4331035693264,4367.442381989716,18.757398540309367,0.04945469732842698,0.04646481678909997,0.0007172791684860832,0.23813991919340258,0.03705978116858555,6.916646586316233,21.560148422494684,1839.2278814763547,14.987995196156154,1858.9418603065562,0.0381140900328917,51.036289687293426,0.498,40.3489
all_coloc_first600_5s_window100_60Hz.pkl,dtw,1,131,162,13041,5,600,100,60.0,6069.740043897679,0.3,magtrack,mcc,10,2,0.4931249023590434,0.4533773847534352,0.997113456089042,0.7391305987277854,0.34945887445887447,15.6,7.8,12564.6,28.8,0.2849578567715297,0.2369283812163069,0.9915574049859316,0.5611111111111111,0.1676207126207126,3.6,2.4,2353.2,18.0,2377.2,0.5972810167799105,0.06269859186065348,0.08197601384474994,0.0005608462895697477,0.17205370630528988,0.09662601503485928,4.6303347611160905,7.345747068882783,531.8691944454011,5.075431016179808,0.2001668080086564,0.18633807106171973,0.001864552351570544,0.40230815533848163,0.14545311945634573,3.0724582991474434,2.939387691339814,226.895923277612,5.366563145999495,233.20583183102434,0.16295704823777085,1158.1618983225258,0.057,36.0302
all_coloc_first900_5s_window50_60Hz.pkl,dtw,1,74,84,3486,5,900,50,60.0,10908.11728150323,0.3,magtrack,mcc,10,2,0.6009701420900877,0.5905283605283604,0.9971912290234934,0.7152380952380952,0.5142460317460318,7.0,3.0,3383.6,6.6,0.5331493191849261,0.519047619047619,0.993648840692319,0.6833333333333333,0.4216666666666667,3.0,0.6,604.4,3.4,611.4,0.6111693616840677,0.0754323577063385,0.0766384541504559,0.000621370129416626,0.12223448711910173,0.08931171579068133,1.8439088914585775,1.61245154965971,142.7915963913843,1.5620499351813308,0.30241286659567296,0.2948692011807755,0.003273922425045747,0.3833333333333333,0.24586016802691368,1.8439088914585775,0.9165151389911679,58.56142074779265,1.562049935181331,61.60551923326351,0.18023708278149916,121.17572510267081,0.069,13.4494
all_coloc_first900_5s_window150_60Hz.pkl,dtw,1,74,84,3486,5,900,150,60.0,10514.769079436073,0.3,magtrack,mcc,10,2,0.5385026392118393,0.5138708513708514,0.9964246574220761,0.6679761904761905,0.47757936507936505,6.6,5.2,3381.4,7.0,0.3646818732700337,0.35666666666666663,0.9914118779770955,0.45,0.30666666666666664,2.0,1.0,604.0,4.4,611.4,0.595437996031746,0.10359503325638528,0.11307333808274143,0.0011998115365210952,0.25316558736497013,0.12653134181329667,2.3748684174075834,4.308131845707603,142.50347364187303,1.61245154965971,0.3113200499765891,0.3025998457809697,0.0034693926611578147,0.39475730941090037,0.2682453271830761,1.7888543819998317,1.0,59.12698199637793,2.6532998322843198,61.60551923326351,0.16582124593286526,1178.8324296136732,0.07,13.479
all_coloc_first300_5s_window100_60Hz.pkl,dtw,1,207,293,42778,5,300,100,60.0,2571.118594374385,0.3,magtrack,mcc,10,2,0.5386693008674055,0.4813655160376277,0.997876167525187,0.8764652189716127,0.3340124472326779,40.8,6.0,41296.6,82.2,0.519582311840127,0.45842399179355703,0.9946923866594108,0.8743278943278943,0.3170446542185673,17.6,2.6,7786.0,39.4,7845.6,0.6608774518523187,0.04363504762490125,0.05149205217041795,0.00021144793135564365,0.05975110956780282,0.04696714309880038,4.3999999999999995,3.22490309931942,1489.3297955792061,10.600000000000001,0.10474543977780952,0.11372873357565545,0.0011050401803472376,0.13481122664419154,0.09602807972078482,4.454211490264018,2.973213749463701,647.6807855726462,10.278132126023678,655.7656898618591,0.0786441286626741,66.65979080880037,0.148,59.2317
all_coloc_first900_5s_window100_60Hz.pkl,dtw,1,74,84,3486,5,900,100,60.0,10624.179164626677,0.3,magtrack,mcc,10,2,0.5773086636689587,0.5626129426129427,0.9969531337853981,0.6980952380952381,0.4942460317460317,6.8,3.6,3383.0,6.8,0.4662050518252722,0.4557142857142857,0.9927457067891851,0.5833333333333333,0.38166666666666665,2.6,0.8,604.2,3.8,611.4,0.6113353543171655,0.08172993800680309,0.07702798822943262,0.0007695049303681477,0.18170520093093506,0.09025754177528161,2.039607805437114,2.4979991993593593,142.71159728627524,1.32664991614216,0.33133179115959344,0.3226874817596024,0.004242403847922922,0.4166666666666667,0.27673192001566344,2.009975124224178,0.9797958971132713,58.6,2.4413111231467406,61.60551923326351,0.19055145373527635,642.870981455246,0.072,13.5389
all_coloc_first300_5s_window5_60Hz.pkl,dtw,1,208,294,43071,5,300,5,60.0,3394.599427697582,0.3,magtrack,mcc,10,2,0.4585085585083421,0.43438793409888216,0.9974767974359644,0.6396095440760284,0.3339538900059631,40.4,23.8,41483.2,81.6,0.43690731878573963,0.39215382338375965,0.9936319921891037,0.7094413919413919,0.28449191603709345,16.0,9.4,7866.6,42.0,7934.0,0.6818209129349315,0.05091437800571783,0.055442497438869635,0.0002763508760440379,0.07366315829349826,0.06227356383054743,5.986651818838306,8.919641248391102,1484.2835847640436,12.09297316626478,0.10850475454352915,0.10830497077268243,0.001585155491212709,0.2078999548880062,0.09136381047822326,4.381780460041329,8.901685233707155,621.2909463367384,10.658330075579382,636.067920901534,0.07113225945931884,212.0124973951443,0.148,59.4682
all_coloc_first60_5s_window50_60Hz.pkl,dtw,1,309,557,154846,5,60,50,60.0,347.4496001798881,0.3,magtrack,mcc,10,2,0.31795007604685266,0.23963894680227799,0.9976309171507921,0.704383446541905,0.14487885958833527,57.0,24.8,152259.0,337.0,0.2730281406270598,0.19979778429219436,0.9943858286601012,0.6449999999999999,0.11990361706364935,19.6,11.6,27181.8,142.4,27355.4,0.46189104687034865,0.022510973461482887,0.018297883524613076,7.169362532681757e-05,0.07900221092767043,0.012875108834082653,4.8373546489791295,8.818163074019441,4374.007887510035,17.395401691251628,0.06710146810213634,0.055936159194275394,0.00040583870735401065,0.15298874323150563,0.03501424397668835,6.499230723708768,7.889233169326408,1838.488607525214,14.691494137765567,1858.9418603065562,0.034622659970673694,11.64421606128892,0.537,40.5955
all_coloc_first900_5s_window1_60Hz.pkl,dtw,1,76,86,3655,5,900,1,60.0,12417.418232659777,0.3,magtrack,mcc,10,2,0.4886388306869133,0.4796114996114996,0.9962177402057053,0.5508333333333333,0.4526190476190476,6.2,5.6,3535.2,8.0,0.2872818643197498,0.2590476190476191,0.9914807236186547,0.4666666666666666,0.19166666666666665,1.4,1.4,640.8,4.4,648.0,0.5316213889596242,0.09184306925934355,0.09120397389019289,0.0010765053258117445,0.12463557990308295,0.1412466763600703,1.6613247725836149,3.2,205.98873755620718,2.9664793948382653,0.24799225119227952,0.22543683973007383,0.005653507316254578,0.4203173404306164,0.175,1.2806248474865698,2.3748684174075834,85.18779255268915,2.939387691339814,88.4805063276652,0.31149987002286667,172.64577745981146,0.076,14.3067
