trial_number,dataset_file,test_frac,seed,method,duration,trainride_start_seconds,signal_delta,spectrum_min_freq,spectrum_max_freq,harmonics_mask,noise_model,sliding_window_threshold,guard_band,noise_band,target_frequency,sliding_window_length,snr_threshold,f1_test,mcc_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,samples_test,samples_trainride_test,samples_no_trainride_test,f1_train,mcc_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,samples_train,samples_trainride_train,samples_no_trainride_train,n_runs,f1_test_std,mcc_test_std,accuracy_test_std,precision_test_std,recall_test_std,f1_train_std,mcc_train_std,accuracy_train_std,precision_train_std,recall_train_std,snr_threshold_std
0,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,0.7096090323344545,9.985001568845146,27.583642472433816,False,median,0.10685855054822052,0.5,3.0,16.7,3,2.378101161127659,0.9323738833150168,0.4738074791382367,0.8822049637922706,0.9355753921558856,0.931457922012543,122211,8753,10052,8985,150002,131196,18805,0.9370040280268928,0.49118498472822286,0.89021492038094,0.9442904976418802,0.9301542133369027,291821,17212,24235,21847,355117,313669,41448,10,0.01529071276476964,0.11643863102011955,0.02525712345042961,0.043685638820450234,0.02478235404055108,0.013862275363588132,0.02878666164494973,0.021451320810539246,0.0062517491824125,0.02543414707763509,0.19175067486210648
1,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,0.8060700248946817,11.102244441078836,30.861966733505643,True,median,0.4394115689678597,0.5,3.0,16.7,3,2.3261836002672505,0.9186305112336927,0.47716258924179356,0.8623397509470376,0.9488317852137869,0.8925826855267248,117173,6593,12212,14022,150002,131196,18805,0.9236005304671497,0.5013279601319434,0.8703064817711601,0.95726588145736,0.8923573169739928,279945,12424,29024,33724,355117,313669,41448,10,0.019224301440930167,0.14675167616309695,0.03094229570967052,0.041197451524674224,0.035055651017756116,0.018399863663687163,0.06572919356964395,0.02866763565805275,0.012031309018632766,0.024799126890385156,0.15669996697897395
2,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,1.151236372782532,12.19696412018378,26.70987002519614,True,median,0.31256008273082303,0.5,3.0,16.7,3,2.552672468624033,0.934288931896473,0.44762426693241614,0.8842336525386522,0.9280269802834533,0.9437416789268271,123834,10084,8721,7362,150002,131196,18805,0.9386103426226242,0.46458019849215315,0.8919323450244111,0.9353202126974395,0.9423607143350683,295636,20439,21009,18033,355117,313669,41448,10,0.01636362029936526,0.1437815034848174,0.027787472582864917,0.04874818425594488,0.02960267572526005,0.015332971495826235,0.031930516263424795,0.024297186553742033,0.007184859969557106,0.028981402346500436,0.2544815251690409
3,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,1.0411770538233565,7.02051765332155,42.291059367884316,True,median,0.22712560722014194,0.5,3.0,16.7,3,2.148419837363032,0.9487662980238868,0.4690237807255865,0.9070083636371502,0.9096691409388324,0.9922722978478378,130187,13078,5727,1009,150002,131196,18805,0.9536834382355599,0.49524229780417156,0.9149522197922428,0.917593225607823,0.9929113197735375,311447,28042,13405,2222,355117,313669,41448,10,0.020699871178644802,0.13841266463308002,0.035451049441674994,0.03748267114044393,0.0021532055648239745,0.009021785657640847,0.05265535131262275,0.015910129329012597,0.017011008355801476,0.0008526390602080568,0.031014951152374185
4,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,0.45346637315910154,10.58391162064007,34.81335827188842,True,median,0.15779047227472845,0.5,3.0,16.7,3,2.121492653505039,0.947285364264431,0.4991593893970566,0.9058179069654614,0.9243139835118461,0.972887783539524,127667,10713,8091,3528,150002,131196,18805,0.9518748368885106,0.5179163118324663,0.913240915846069,0.930850316322976,0.9739563145388115,305499,22702,18745,8169,355117,313669,41448,10,0.020432571725109358,0.16484585462892049,0.03518719210354588,0.042737713996387004,0.01187646850835976,0.009465726727234723,0.04601073894806805,0.015982603789198552,0.013360337005555958,0.008376027238214645,0.1253562969532072
5,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,1.4343546821808433,12.724174322091937,22.296808897031184,False,spline,0.1264114525679899,0.5,3.0,16.7,3,3.3044408489764634,0.8836262372538523,0.3523630808924405,0.8083189703831966,0.9381508920669003,0.8355357824354398,109670,7245,11560,21526,150002,131196,18805,0.8845807087395299,0.3476570375721959,0.8082523391857059,0.9428882962831692,0.8331636200786934,261380,15824,25623,52288,355117,313669,41448,10,0.0171616498282789,0.046366657672628354,0.02288497440534093,0.022519370182183692,0.02237033970986208,0.01018426681367436,0.023339122612692036,0.013032705334038533,0.008707983310790547,0.01425601258629326,0.058753026774075005
6,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,1.2709268346386577,5.603040542990925,29.585196276082414,False,spline,0.49954924529094347,0.5,3.0,16.7,3,2.632540496903904,0.8604433560015388,0.46655721181317034,0.783491190911884,0.9825387038491691,0.7661571221821337,100584,1799,17006,30612,150002,131196,18805,0.8580109886512577,0.45092986293884235,0.7776025846152128,0.9819171430359006,0.762160197479267,239118,4414,37033,74550,355117,313669,41448,10,0.02224671593442311,0.06906465481131262,0.02989172578474751,0.0076969557172803385,0.03602585794979664,0.013398169674753919,0.03184476773180321,0.01620191531559586,0.003136902736519179,0.021480342162397786,0.07137530708277698
7,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,1.5952171766261822,0.6377991972450161,19.187991782890304,False,spline,0.4966019208175164,0.5,3.0,16.7,3,2.9255460177141672,0.8482526106643142,0.4405928123430193,0.7665589787902123,0.9799342947288302,0.7484174500910379,98240,2015,16790,32956,150002,131196,18805,0.8441336565418526,0.42122929296151135,0.7582103661388004,0.9788182732111425,0.7422669542704807,232885,5052,36395,80784,355117,313669,41448,10,0.021478923378077105,0.06859076747969671,0.02841413087736635,0.00838746245697876,0.03291276490921917,0.012111992589733315,0.029739480926822718,0.014267262269877408,0.004174158940240718,0.019078540891151168,0.04753110691542112
8,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,0.3015215480737748,10.25463433483635,17.13819872238248,False,spline,0.17633956214399485,0.5,3.0,16.7,3,1.2420677531167381,0.9273758969920041,0.16146332462359972,0.8672723609323787,0.8862646778615524,0.9736918548587429,127726,16587,2218,3470,150002,131196,18805,0.932467317462702,0.16686171997992352,0.8756217482801464,0.8942905253827707,0.9741568660805747,305587,36161,5286,8081,355117,313669,41448,10,0.01941520152308918,0.01688766242949424,0.03246473069927263,0.038345801506023736,0.007003166220459119,0.01055786988408977,0.02107138565988341,0.01786698938485586,0.015500060938677411,0.0071720916941393825,0.08844203753581573
9,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,1.9637594557148688,13.358306791316046,18.696142837573188,True,spline,0.2885496036585776,0.5,3.0,16.7,3,24751.508283923882,0.8133349695756233,0.04165070283201442,0.6975641722091741,0.8837439937360235,0.754861425362542,98960,13206,5599,32236,150002,131196,18805,0.8142066355934361,0.047762851225449474,0.6984959682851969,0.8925897552448511,0.7488814960619643,234955,28339,13108,78714,355117,313669,41448,10,0.018144530597016983,0.01914675163001141,0.022676407419382146,0.03691783149205256,0.028201419692420224,0.013747418081227323,0.005471334109523444,0.016665918684085592,0.017006265807584704,0.02036766183729036,65126.716475879926
10,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,0.48716553992568706,8.961049928411388,31.274604361326055,False,interpolate,0.669813686041186,0.73108301798248,4.688261106738359,16.7,3,2.098891308736696,0.8047716147360218,0.43467658352736305,0.7141923390977541,0.9961284940777204,0.6760869447146324,88784,347,18458,42411,150002,131196,18805,0.7997563593233441,0.4196601346598102,0.7047543146648918,0.9953700941566531,0.6687396554340788,209834,979,40468,103834,355117,313669,41448,10,0.02884784197662369,0.0634520665819601,0.036567827887729214,0.0022378543968361274,0.04068071895230762,0.0168422891333843,0.028205404479193247,0.018386615532321047,0.0010460024518599666,0.023481602349098924,0.05612782138330602
11,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,1.013319276323433,3.4020129293809207,31.31412822010251,False,spline,0.8504248306855041,0.5,3.0,16.7,3,2.4824125394911687,0.7876819650319078,0.41357564001877944,0.6936912741523951,0.9950825044644647,0.6531873196433802,85789,431,18374,45407,150002,131196,18805,0.7821052008667506,0.39706428017735107,0.6829868647020855,0.9938238128589253,0.64508058857907,202391,1263,40185,111277,355117,313669,41448,10,0.0339307790087655,0.06368290877796669,0.04092129900239808,0.0032493314543339553,0.046937600332556534,0.016692290193414845,0.0296302288962078,0.018648862244409623,0.0015620461069285865,0.02287367871404284,0.09796942358246856
12,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,1.3115946167351142,7.5276287104985595,42.16354142738584,False,spline,0.7169115150823139,0.5,3.0,16.7,3,2.7312228207218188,0.7913575169159883,0.41287515558584326,0.6973320111418001,0.993098837222598,0.6590509910322353,86530,610,18195,44665,150002,131196,18805,0.7857675339249113,0.3959969437241766,0.6874131463662893,0.9922004474870911,0.6509842600127266,204289,1613,39834,109379,355117,313669,41448,10,0.03281800690324831,0.06600583265039696,0.04127571048814699,0.004996369623806426,0.04532355136212402,0.02148387035738536,0.024310964632593995,0.02203325483915877,0.0019768741200497796,0.029407868774235756,0.11950410986028291
13,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,0.11563954420313566,3.219771395223978,30.86735189110237,True,spline,0.5996721875432317,0.5,3.0,16.7,3,1.827591795481045,0.897502699931177,0.5499919030329625,0.8361762755983569,0.9880242609218396,0.8226581180081209,107995,1308,17496,23201,150002,131196,18805,0.8971164199290405,0.5399617497035878,0.8337389366690415,0.988113843189234,0.8215623664752307,257734,3098,38349,55935,355117,313669,41448,10,0.017210656935554926,0.06532210202267884,0.02488695892526432,0.004859280953019831,0.028974469296154163,0.008165900558006419,0.03270995484715317,0.010574967105719089,0.0014809524854014079,0.013402882447903098,0.025246882123080728
14,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,0.1448586718371005,7.702818645352014,40.94160650001377,False,spline,0.4569022030059774,0.5,3.0,16.7,3,1.9351591552209246,0.8951475791719308,0.5478606235317071,0.8327929685785664,0.9883393845805317,0.8185694748953021,107454,1267,17538,23742,150002,131196,18805,0.8947612427200952,0.5390129871541539,0.8305712200205926,0.9892588511524986,0.816897187421613,256289,2783,38664,57380,355117,313669,41448,10,0.018215666392198505,0.06430754572172741,0.026564987893408394,0.006284348666969928,0.03059132313689444,0.010084869801090085,0.030215332909210406,0.01275009602708945,0.0015080625931018137,0.016696420645249607,0.058329742194582826
15,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,1.560895175536758,10.820046752282137,35.652612650614714,True,interpolate,0.48589231999486604,1.726036134370761,5.208443537251819,16.7,3,2.665051532028572,0.84962828501814,0.4467333490034931,0.7684565748949425,0.9798790672660136,0.7513599772301675,98634,2077,16728,32562,150002,131196,18805,0.8476510290735728,0.43287622916231383,0.7637930116393493,0.9809890989741389,0.7466832507294033,234305,4545,36902,79364,355117,313669,41448,10,0.02593587597258171,0.06672866966091072,0.03473505470103148,0.015029119184583455,0.04333438077351362,0.018276348675497833,0.02418347218786955,0.021139760735838824,0.0032997246411743536,0.02820287566118897,0.10580036002033229
