trial_number,dataset_file,test_frac,seed,method,duration,trainride_start_seconds,signal_delta,spectrum_min_freq,spectrum_max_freq,harmonics_mask,noise_model,sliding_window_threshold,guard_band,noise_band,target_frequency,sliding_window_length,snr_threshold,f1_test,mcc_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,samples_test,samples_trainride_test,samples_no_trainride_test,f1_train,mcc_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,samples_train,samples_trainride_train,samples_no_trainride_train,n_runs,f1_test_std,mcc_test_std,accuracy_test_std,precision_test_std,recall_test_std,f1_train_std,mcc_train_std,accuracy_train_std,precision_train_std,recall_train_std,snr_threshold_std
0,tmd_s900_d3.pkl,0.3,magtrack,fft,3,900,0.7096090323344545,9.985001568845146,27.583642472433816,False,median,0.10685855054822052,0.5,3.0,16.7,5,2.869373366723392,0.8419937174212327,0.5700858162629058,0.7908670806349295,0.7950484475127481,0.9166630049655821,27194,8342,10924,2485,48947,29680,19266,0.8711682501614234,0.622657594983888,0.8302083045633852,0.8271921712445716,0.9208033466248754,63873,13364,27924,5483,110645,69356,41288,10,0.07167319002506672,0.1411504343602299,0.0889763112368441,0.13898494553430232,0.034654669872503506,0.0177536300285853,0.02792692505499912,0.011506538300259534,0.015839161521739562,0.032784502861380516,0.279274151597165
1,tmd_s900_d3.pkl,0.3,magtrack,fft,3,900,0.8060700248946817,11.102244441078836,30.861966733505643,True,median,0.4394115689678597,0.5,3.0,16.7,5,3.5027686203536517,0.791416820923141,0.5397157935004112,0.7573273361514714,0.8686365484495718,0.7501760000225386,22235,4405,14861,7445,48947,29680,19266,0.8380271266221152,0.6599392040574942,0.8216124033722446,0.948602040326594,0.7558529131788279,52448,2975,38313,16908,110645,69356,41288,10,0.02116772880549654,0.10686712590802537,0.03575279560654558,0.12898965044852104,0.0850500273277311,0.04399331152937161,0.035923393964921634,0.030671503355996343,0.01910867779912462,0.08187032862621048,0.724601776968015
2,tmd_s900_d3.pkl,0.3,magtrack,fft,3,900,1.0411770538233565,7.02051765332155,42.291059367884316,True,median,0.22712560722014194,0.5,3.0,16.7,5,3.993669177273007,0.8016071686185763,0.5222379180040966,0.7493349131684436,0.8209276862172137,0.8295505611179426,24572,7257,12008,5108,48947,29680,19266,0.8576501423512383,0.670327147638039,0.8368800790450848,0.9015333963255294,0.8320989542037601,57757,6738,34549,11598,110645,69356,41288,10,0.024981576225202036,0.12928507273675854,0.0423419603622141,0.15168316894424352,0.1284382550256608,0.058751077054695434,0.06155848431475428,0.04657469281346042,0.034771004744891386,0.1301033907655703,1.3860191260556924
3,tmd_s900_d3.pkl,0.3,magtrack,fft,3,900,1.4343546821808433,12.724174322091937,22.296808897031184,False,spline,0.1264114525679899,0.5,3.0,16.7,5,4.006953256518465,0.8053585018503562,0.48214171925875443,0.7582965135867238,0.7930864085863416,0.8253526568894595,24484,6809,12456,5195,48947,29680,19266,0.8191658791487788,0.49616000360593127,0.7704264706523144,0.8080950819469506,0.8308371108603365,57630,13714,27573,11726,110645,69356,41288,10,0.04054254011892062,0.04378228769739147,0.029040079878975365,0.08758150804958977,0.023905090984973558,0.017820893641093273,0.030635882069547142,0.009630792707841897,0.02262837464005937,0.01876598950263166,0.1845873947166759
4,tmd_s900_d3.pkl,0.3,magtrack,fft,3,900,1.5952171766261822,0.6377991972450161,19.187991782890304,False,spline,0.4966019208175164,0.5,3.0,16.7,5,3.575710870799823,0.7855768766271038,0.6060102687630862,0.7754055303337818,0.9660247882166809,0.662563338086106,19653,697,18569,10027,48947,29680,19266,0.7877318281844192,0.6007727781800349,0.7736488282818905,0.9592543823102224,0.6683421340330147,46355,1965,39322,23001,110645,69356,41288,10,0.028258628127021252,0.07241084154412437,0.04479320360590364,0.02793677012755842,0.03343797372743964,0.014578523527594167,0.030984032173193763,0.015677027725297762,0.010793973675786817,0.016818613860007527,0.10657925937828401
5,tmd_s900_d3.pkl,0.3,magtrack,fft,3,900,1.151236372782532,12.19696412018378,26.70987002519614,True,median,0.31256008273082303,0.5,3.0,16.7,5,3.197323726200677,0.8275925340065248,0.5778785533297912,0.7898072954881449,0.8509180690132887,0.8246693667190925,24456,5228,14037,5224,48947,29680,19266,0.8657294072607804,0.6677466883021836,0.8407287051784834,0.9050232207932204,0.8318220102061711,57706,6083,35205,11649,110645,69356,41288,10,0.0373535069670198,0.10892302767247675,0.04487397625972351,0.12409674191959835,0.062026216658225476,0.02915564344933609,0.027150261259096243,0.021091253096995156,0.010464764056528877,0.05686379384902574,0.3894716243624462
6,tmd_s900_d3.pkl,0.3,magtrack,fft,3,900,1.1972906543384023,14.835171976775321,22.063703391700223,False,interpolate,0.5086744557589467,1.0543570451393782,9.977335408040044,16.7,5,3.1740552791199006,0.7820513826316886,0.6083756980051649,0.7729597281934337,0.9722504487906262,0.6553208376424215,19434,565,18700,10246,48947,29680,19266,0.7868228487175062,0.6109698679230895,0.7751249226678978,0.9721440297085293,0.6610182753845926,45851,1314,39973,23504,110645,69356,41288,10,0.02958190759964317,0.06946865277425208,0.04772566603068541,0.022513615713340145,0.04128001084570167,0.013309157887395227,0.022645934533235736,0.011081330493890474,0.007519569518738192,0.017610550989059177,0.16827084362843142
7,tmd_s900_d3.pkl,0.3,magtrack,fft,3,900,0.45346637315910154,10.58391162064007,34.81335827188842,True,median,0.15779047227472845,0.5,3.0,16.7,5,3.467526595514163,0.8255754383294379,0.5342353445919643,0.767969632980317,0.7962023057632271,0.8923623498536077,26457,8593,10672,3223,48947,29680,19266,0.8622114860578721,0.6178744476229622,0.8247010850899322,0.833864281802479,0.8956372915232776,62144,12368,28920,7212,110645,69356,41288,10,0.05819766568887774,0.15727140858345312,0.07878363376284722,0.15353219384016098,0.07407386766086677,0.03745237021008397,0.048920975900253696,0.030786520622555706,0.01063005856342093,0.0756818369317808,0.9019351104626055
8,tmd_s900_d3.pkl,0.3,magtrack,fft,3,900,1.3399010070990618,14.63081817701257,20.685494512334547,False,interpolate,0.2574014660226591,0.8266270764304857,4.1502948638268435,16.7,5,3.1549911730959126,0.8219480187421595,0.6193347177576133,0.8015573656423983,0.9219785636427309,0.7437177302548073,22060,1940,17326,7620,48947,29680,19266,0.8321319257783925,0.6317973966915152,0.8096443773133976,0.9309472002187279,0.7524732354566814,52194,3876,37412,17162,110645,69356,41288,10,0.022616290245112955,0.05615999631814737,0.030988826696029696,0.046480873181012315,0.035543295984201695,0.013583191711350131,0.027274828132807176,0.008935678701051511,0.011803641815967787,0.01852483129999143,0.1433514022215181
9,tmd_s900_d3.pkl,0.3,magtrack,fft,3,900,1.093961451449189,7.741811867011698,36.69697235814567,False,interpolate,0.14539057336469688,0.8125271256861001,3.6791549390926734,16.7,5,2.8661862784518126,0.8384437256499544,0.5601388886133118,0.7947392108817349,0.8035857352027349,0.8856393814276361,26274,6941,12325,3406,48947,29680,19266,0.8550917495540815,0.5804358133041317,0.8113659740056572,0.8230626476751549,0.8900982916675485,61741,13311,27977,7615,110645,69356,41288,10,0.04712018204882916,0.04857966295120417,0.04114518885259458,0.0942300608506336,0.027929767243398032,0.01707432144099588,0.03152690347769516,0.012693662327920154,0.022334472905043937,0.019172653317156025,0.13013411669408878
10,tmd_s900_d3.pkl,0.3,magtrack,fft,3,900,0.7830020394249624,9.122507184282401,43.98203486768769,False,interpolate,0.7023297173951742,0.6978855189809161,2.6627877979411516,16.7,5,2.768196140435374,0.7599381334178473,0.5923326073187001,0.7558565719217082,0.9839088540156817,0.6197649418783494,18382,299,18966,11298,48947,29680,19266,0.7624008507093091,0.5916047691645332,0.7556048033320429,0.9806361107684103,0.623744441531006,43262,852,40436,26093,110645,69356,41288,10,0.02834239707060894,0.0711401671553254,0.051947460026953565,0.0126992097160211,0.035999743854094685,0.012882576890775637,0.025648715071536512,0.01553282499920506,0.005207019748585654,0.015992254483974535,0.1235553739211629
11,tmd_s900_d3.pkl,0.3,magtrack,fft,3,900,0.20600051657540086,8.810044304388121,37.222297617348154,False,interpolate,0.8565889662439512,0.877858090690217,9.397493798660726,16.7,5,2.2186428530483,0.7445858060778575,0.5861511941977466,0.745263014508177,0.9961839073820611,0.5951898506249025,17654,66,19199,12026,48947,29680,19266,0.7447947267740596,0.5840311148435409,0.7431777224409469,0.9930647279594951,0.5959870097413779,41337,288,41000,28018,110645,69356,41288,10,0.02747040891315364,0.06786159868796875,0.05276964205789063,0.0026579468368237388,0.03488715225413673,0.012425492255628254,0.024365580864925164,0.016414108351081574,0.0011458983559159668,0.01582236701454815,0.13187001770510753
