trial_number,dataset_file,test_frac,seed,method,duration,trainride_start_seconds,signal_delta,spectrum_min_freq,spectrum_max_freq,harmonics_mask,noise_model,guard_band,noise_band,target_frequency,sliding_window_length,sliding_window_threshold,snr_threshold,f1_test,mcc_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,samples_test,samples_trainride_test,samples_no_trainride_test,f1_train,mcc_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,samples_train,samples_trainride_train,samples_no_trainride_train,n_runs,f1_test_std,mcc_test_std,accuracy_test_std,precision_test_std,recall_test_std,f1_train_std,mcc_train_std,accuracy_train_std,precision_train_std,recall_train_std,snr_threshold_std
0,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,1.6921408352953906,15.16199740225414,18.672485343263528,False,interpolate,0.6705141552687582,4.489553961052377,16.7,1,1,,0.0,0.0,0.377277978175452,0.0,0.0,0,0,5776,8900,14676,8900,5776,0.0,0.0,0.3694895409636595,0.0,0.0,0,0,12378,20797,33176,20797,12378,10,0.0,0.0,0.10221679466577152,0.0,0.0,0.0,0.0,0.051097669598209605,0.0,0.0,
1,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,1.9641542532752208,10.24282937479159,17.285489976389492,False,interpolate,1.7459501546620273,1.4378092546327714,16.7,1,1,,0.0,0.0,0.377277978175452,0.0,0.0,0,0,5776,8900,14676,8900,5776,0.0,0.0,0.3694895409636595,0.0,0.0,0,0,12378,20797,33176,20797,12378,10,0.0,0.0,0.10221679466577152,0.0,0.0,0.0,0.0,0.051097669598209605,0.0,0.0,
2,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,0.06475889416803884,9.43138769484694,19.52391428789171,False,median,0.5,3.0,16.7,1,1,2.0479025572184297,0.8876384036396313,0.7390016068465257,0.8706263331291213,0.9538936026248631,0.8306637488153829,7391,363,5413,1509,14676,8900,5776,0.8897124863684738,0.7393887161376759,0.8700408429168887,0.9533738943075111,0.8340523790315764,17346,848,11530,3451,33176,20797,12378,10,0.015670955599224483,0.046246347509493343,0.0200029562917979,0.02773064913308188,0.02091470223641208,0.007177480240681247,0.02594160038414108,0.008515070585901398,0.006863485216224512,0.008925328578732345,0.06819199224838772
3,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,1.617092725132549,13.292852710668166,23.599236128050215,False,median,0.5,3.0,16.7,1,1,3.799299625048193,0.8310634795382106,0.6153088096179116,0.8041651816365711,0.8892690366307885,0.7895526520985141,7021,998,4778,1878,14676,8900,5776,0.8523745607292114,0.6525635139640877,0.828506815711922,0.9197306181531492,0.7956733893856709,16551,1458,10920,4245,33176,20797,12378,10,0.024488995393043257,0.047906093680894456,0.021131746272535626,0.0881989140237655,0.053467602320379344,0.021381628780018758,0.02336516943266089,0.010923703868984646,0.015364118408958898,0.0423574321270069,0.42453895879393416
4,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,1.5707452873733294,12.703560927260266,32.07443077484393,False,median,0.5,3.0,16.7,1,1,5.475598213149325,0.7850991974311529,0.49284499487476136,0.7318365609466119,0.8185680018963414,0.8046553634243352,7145,2211,3564,1754,14676,8900,5776,0.8440870311373014,0.6456393994689433,0.8232367308471188,0.9055536811786501,0.808008545663341,16819,1961,10417,3978,33176,20797,12378,10,0.02553176578757489,0.14278039785770893,0.04232361997040979,0.16061332958786065,0.1342376249525577,0.05799173584467177,0.04505035553038822,0.04097805881259732,0.047589201445055,0.13500276027593536,2.3870663648927812
5,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,1.015762006701772,12.217705403044603,35.6104260756053,False,median,0.5,3.0,16.7,1,1,5.944163004877796,0.785356047696818,0.5014023802962259,0.7338347738063214,0.8244366513194301,0.8019338084724605,7120,2140,3635,1779,14676,8900,5776,0.8446249206109903,0.6573607187136832,0.8263771821218207,0.9139876084322136,0.8045384910317026,16747,1795,10583,4049,33176,20797,12378,10,0.022615429735441884,0.13514725284593945,0.03868937691544654,0.15898878036364392,0.1424149030349872,0.0638316302324423,0.05271401558923062,0.046675384892421054,0.04887973890625653,0.14385032740041565,2.973948185025608
6,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,0.3931385851545807,11.787815100859182,38.526847862803415,False,median,0.5,3.0,16.7,1,1,5.0954214213970435,0.803956810367214,0.5350086792939388,0.755454553317184,0.8344521049076524,0.8193713425977819,7278,1993,3783,1621,14676,8900,5776,0.864980946039994,0.6947204541873387,0.8467359557103368,0.9269146333417373,0.8249607556894446,17170,1524,10854,3627,33176,20797,12378,10,0.026246118628236437,0.1396763362431978,0.045231755760224396,0.15528010878959728,0.12086272312183748,0.05145718804459448,0.049245285201442925,0.03923905127402046,0.045534354062682206,0.12081068247390186,2.3751153479817337
7,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,1.8113416345490863,13.176533141991234,17.276392654059197,True,median,0.5,3.0,16.7,1,1,3.6953460787265575,0.8057094371117577,0.5904665988343896,0.786231930970096,0.9190945704412521,0.7189149370872958,6395,590,5185,2504,14676,8900,5776,0.8057042570454696,0.5735395381225717,0.7800061863619228,0.9054887390400351,0.7258180612823739,15095,1576,10802,5702,33176,20797,12378,10,0.03170395310498125,0.08885617449491903,0.04012168727183631,0.06015748998865055,0.029122271630173214,0.01703672284588761,0.042818042291291145,0.019250806032612516,0.018831480676061448,0.01739639608212416,0.13670227815055697
8,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,1.6214773094993618,16.187979070224525,24.879324456362887,True,median,0.5,3.0,16.7,1,1,3.9661907986826095,0.8363622547582998,0.6179824823185254,0.8060355259126105,0.8802951823619833,0.8117209943241039,7218,1191,4584,1682,14676,8900,5776,0.8691070200651237,0.6894357967705644,0.8473893667907453,0.9294418809720959,0.8181577118977973,17020,1309,11069,3777,33176,20797,12378,10,0.029673493850055188,0.0737303665134733,0.031111613304404335,0.11003436134113681,0.06083110123959878,0.024226017706163436,0.020119619413593855,0.015215077369411783,0.013831907168969258,0.0508228952803445,0.5749934504266754
9,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,0.1144245471540157,12.466810048510784,27.020713930832514,True,median,0.5,3.0,16.7,1,1,2.821693159860047,0.8860660151705375,0.7259212997635812,0.8664591534337722,0.927286484548507,0.85130463287639,7573,627,5148,1326,14676,8900,5776,0.8989246854733615,0.7529445437525436,0.879683044819863,0.9470905697518102,0.8556586173557956,17797,995,11383,3000,33176,20797,12378,10,0.01702351822097896,0.03386608750325588,0.01395029364367772,0.05228155499510481,0.02940007995012059,0.01129297900067422,0.01658701621441179,0.006072474807163361,0.008242246549526431,0.019225798911102304,0.2466351535822827
