trial_number,dataset_file,test_frac,seed,method,duration,trainride_start_seconds,signal_delta,spectrum_min_freq,spectrum_max_freq,harmonics_mask,noise_model,sliding_window_threshold,guard_band,noise_band,target_frequency,sliding_window_length,snr_threshold,f1_test,mcc_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,samples_test,samples_trainride_test,samples_no_trainride_test,f1_train,mcc_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,samples_train,samples_trainride_train,samples_no_trainride_train,n_runs,f1_test_std,mcc_test_std,accuracy_test_std,precision_test_std,recall_test_std,f1_train_std,mcc_train_std,accuracy_train_std,precision_train_std,recall_train_std,snr_threshold_std
0,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,0.8060700248946817,11.102244441078836,30.861966733505643,True,median,0.4394115689678597,0.5,3.0,16.7,12,5.633873945492569,0.6807502842834618,0.6695007922951344,0.9424109336555789,0.7690615212564383,0.6584360882301207,914,460,15132,476,16983,1390,15593,0.7602907600975435,0.748231220716059,0.9583056129233126,0.8893499952130182,0.667215547985327,2197,279,29912,1094,33483,3291,30191,5,0.08299108573836825,0.07675546719421646,0.018582673874778268,0.20454279544870096,0.08786066578827115,0.039624409576242664,0.03551749723398437,0.003994926072849763,0.04124057385178161,0.06263502269855613,0.9677789715544289
1,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,1.1972906543384023,14.835171976775321,22.063703391700223,False,interpolate,0.5086744557589467,1.0543570451393782,9.977335408040044,16.7,12,6.07846722955893,0.6490037351628242,0.6546186054290098,0.9459600092262243,0.9044556985035902,0.5092983370438645,707,82,15510,682,16983,1390,15593,0.6655931594394632,0.6697896488067892,0.9467236218781838,0.9209708059155194,0.5214623786843313,1716,149,30042,1574,33483,3291,30191,5,0.04279797009845631,0.04319344309277758,0.022293514804620114,0.09540866867389881,0.0420222467607214,0.02066189803975472,0.02096378562768932,0.00913118366080873,0.040203427581746616,0.017893203008492304,0.4084806311323025
2,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,1.0411770538233565,7.02051765332155,42.291059367884316,True,median,0.22712560722014194,0.5,3.0,16.7,12,6.496943645782062,0.5893133338627516,0.5637607164079091,0.8623174715144966,0.5740517020161604,0.7325619566990033,1017,2441,13151,372,16983,1390,15593,0.7564760455040138,0.7316292166283027,0.9522562599210534,0.7729450998367238,0.7454433309860442,2454,738,29453,836,33483,3291,30191,5,0.20957201566020245,0.18822315046372534,0.14488649577042742,0.25285163179670994,0.0762746747709761,0.037933288315477674,0.03814320631485597,0.004913709125312104,0.05950101987563861,0.06140160048835061,1.1424653923044332
3,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,1.218235038098384,3.2711320399465458,32.32974440805856,False,interpolate,0.7288942712151384,0.8600023490869851,3.474794522398886,16.7,12,4.392665967436069,0.6329423940798409,0.6353663987212352,0.9435613324583059,0.8742318288509606,0.5003638961629022,695,113,15480,694,16983,1390,15593,0.6587090686682059,0.6599418857244796,0.9455492099519832,0.9007652065802079,0.519622103322188,1710,190,30001,1580,33483,3291,30191,5,0.04371000050442933,0.04578030700389965,0.022028245765881853,0.11354696964307355,0.037685942017459916,0.028328962198719002,0.028484050864576976,0.007997112786564151,0.04972171293534567,0.02369027841312604,0.38053905768951396
4,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,1.9250895475986676,2.502281427268799,44.310757899985916,True,interpolate,0.7711336821738416,1.0647606485674472,2.583716546867296,16.7,12,7.748925184559404,0.4912302316013806,0.5165053627417371,0.9247102474990283,0.8435119283506379,0.36192314955968347,501,135,15458,889,16983,1390,15593,0.5410240976548654,0.5742227469591287,0.9351154061335766,0.9403872916725746,0.3864181152170257,1273,95,30096,2018,33483,3291,30191,5,0.06396609141991419,0.05197321121117978,0.03817009200560835,0.15707929232138532,0.07673623335879685,0.08083571825212837,0.05616424597719684,0.010304935463937048,0.06053419021946416,0.07871002231146673,3.081417512482151
5,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,0.7830020394249624,9.122507184282401,43.98203486768769,False,interpolate,0.7023297173951742,0.6978855189809161,2.6627877979411516,16.7,12,3.9138675672549263,0.688831205262713,0.6911042852054098,0.9514164494247972,0.9233549856729301,0.5502261180524195,765,66,15526,625,16983,1390,15593,0.7004055663439809,0.7009719396445651,0.9510756583755933,0.9292746298107145,0.5621665788432707,1850,142,30049,1441,33483,3291,30191,5,0.03665683468009169,0.036470244422087746,0.019758690374756003,0.0739894565113922,0.025031801558508027,0.01622821884403607,0.016995104974187304,0.008322895297711767,0.034134714359942885,0.010971966307269475,0.05089039335167733
6,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,0.598738667496701,9.345547282307587,24.386727862250652,True,interpolate,0.5306980221383981,0.5113077324015349,7.897537687724838,16.7,12,3.721307234192712,0.7431227910778173,0.7310014454388872,0.9573335032453862,0.8734418065955338,0.6491473659166415,902,139,15453,487,16983,1390,15593,0.7630859186378904,0.75221840203525,0.9586896684543144,0.9045220032108585,0.6601586127922963,2173,231,29960,1118,33483,3291,30191,5,0.04599634554721596,0.0472639112017483,0.014895996819191614,0.09414151137252122,0.025870806557765965,0.026648672194040067,0.027917347579167126,0.005950115180766641,0.043925434012513274,0.0187665518124509,0.124012061381491
7,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,0.43005832076979883,5.598970683967641,40.57945814783125,True,interpolate,0.7032493069856901,0.3241240872348895,3.702435472325697,16.7,12,3.5454536833783985,0.7163973106457453,0.7192092019526176,0.9549413858586234,0.9480335305758543,0.5762194554336639,801,44,15548,589,16983,1390,15593,0.7335193642825442,0.7366217890807019,0.9562346357388847,0.9656164663432479,0.5914041938937146,1946,69,30122,1344,33483,3291,30191,5,0.025070409649013803,0.02177396665036834,0.01925106380091068,0.04685276938199166,0.020657256053737826,0.014582600017937757,0.013643059766218215,0.007795415002031664,0.01983599453045503,0.012225569017809714,0.06869455321347562
8,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,1.093961451449189,7.741811867011698,36.69697235814567,False,interpolate,0.14539057336469688,0.8125271256861001,3.6791549390926734,16.7,12,4.251021151559512,0.605423513142842,0.581567777233478,0.9118049695496833,0.536961065299252,0.7567735575996506,1051,1207,14386,338,16983,1390,15593,0.6788380527383657,0.6458776461654864,0.9283881470122095,0.6254732350843458,0.7551819386746046,2486,1616,28575,805,33483,3291,30191,5,0.13411054597613364,0.11735668645763021,0.019622022931424853,0.20060407443381206,0.04055848720823848,0.07718759458952928,0.07874975173263474,0.014817920669723175,0.12619132871031158,0.0174809807094948,0.25347661706091273
9,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,1.1259362854261186,6.69262516234928,30.005129155225596,True,interpolate,0.7204222305604099,1.6311830195121988,9.87998815295728,16.7,12,4.198142033490134,0.6712416995016407,0.6670253090308569,0.9480280672005732,0.8725124766994876,0.5484494635045285,762,119,15473,628,16983,1390,15593,0.6913115721305498,0.6880677686872233,0.9493515104107934,0.9017192057966223,0.5618839281900646,1850,207,29984,1441,33483,3291,30191,5,0.04308844417491865,0.04385470551624836,0.019953360676583865,0.09615106517353986,0.03799061873804613,0.02587534901390059,0.0225717003600807,0.006884961960026058,0.047696795760816445,0.031333559932658066,0.3362928169436619
