trial_number,dataset_file,test_frac,seed,method,duration,trainride_start_seconds,signal_delta,spectrum_min_freq,spectrum_max_freq,harmonics_mask,noise_model,guard_band,noise_band,target_frequency,sliding_window_length,sliding_window_threshold,snr_threshold,f1_test,mcc_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,samples_test,samples_trainride_test,samples_no_trainride_test,f1_train,mcc_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,samples_train,samples_trainride_train,samples_no_trainride_train,n_runs,f1_test_std,mcc_test_std,accuracy_test_std,precision_test_std,recall_test_std,f1_train_std,mcc_train_std,accuracy_train_std,precision_train_std,recall_train_std,snr_threshold_std
10,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,1.55372181801314,9.854831489220818,42.24432800941566,True,median,0.5,3.0,16.7,1,1,2.6953335153616305,0.9336222087938486,0.42502887623660335,0.8829534477634485,0.9146798964019481,0.9540143015922433,84636,7901,6149,4051,102739,88688,14051,0.9509674860037689,0.6159788562562118,0.9145812423962425,0.9464083416063286,0.9557450714252402,198079,11218,20515,9206,239019,207286,31733,5,0.016806417864428765,0.14515000858753058,0.028834087061734934,0.031513127291206255,0.010424774310043418,0.007272829686594905,0.06507327222157927,0.012183780105048152,0.014195859992272686,0.008113811127694584,0.09296982550197179
11,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,0.1144245471540157,12.466810048510784,27.020713930832514,True,median,0.5,3.0,16.7,1,1,2.1384426124511045,0.9063514954880103,0.528482605991792,0.847870939629971,0.9660576308916424,0.8540267920494953,75681,2644,11406,13006,102739,88688,14051,0.9164507876076774,0.5852023764787148,0.8636732026661937,0.9772179922418133,0.8628807935478304,178897,4175,27558,28389,239019,207286,31733,5,0.008355506316719183,0.0541810519497231,0.010482247791957605,0.014231031643092059,0.01874448180222966,0.006896322748632603,0.019063288534677772,0.009709884452586486,0.0024760785917153135,0.012041818018825645,0.1179940961311499
12,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,0.764320425378071,1.1801643980056578,19.753672377029645,True,spline,0.5,3.0,16.7,1,1,2.78546653314714,0.8741490833810598,0.4815389723059796,0.8023388746628081,0.9707177237259652,0.7953106370110936,70473,2133,11917,18214,102739,88688,14051,0.8840563374768704,0.5025448520938162,0.8159693728363436,0.9736231620921159,0.8096477846886783,167845,4561,27172,39440,239019,207286,31733,5,0.010409130512339215,0.048353588568713336,0.015552855660908986,0.009382500458818492,0.017820367309512898,0.006321292858010642,0.01610180864123799,0.006640302488927939,0.003058913721591862,0.01051811702435343,0.07366319308461501
13,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,1.3765622030713192,9.600884595715659,39.011299492529844,True,spline,0.5,3.0,16.7,1,1,3.1590590699813736,0.841202453647648,0.4528285319694333,0.7597671837804484,0.9786215901783697,0.7379591726458351,65419,1470,12581,23268,102739,88688,14051,0.8529902510605275,0.46047438569757765,0.7736551633412148,0.9764448699199788,0.7572669639619345,156938,3793,27940,50347,239019,207286,31733,5,0.014567986219288306,0.05220539767749007,0.017853615076786854,0.01147303477157848,0.02171179910299077,0.005661260253152721,0.019714456418705853,0.007519832030029368,0.0040374821283148555,0.007119857104399001,0.04367983946195586
14,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,1.3115946167351142,7.5276287104985595,42.16354142738584,False,spline,0.5,3.0,16.7,1,1,3.054850452256713,0.8738609084982866,0.46286787153225273,0.8010183156313418,0.9645024132933078,0.7993421709275672,70781,2603,11448,17906,102739,88688,14051,0.8846107819399185,0.5012627156052278,0.8167109542361818,0.9726251620171024,0.8115250217524324,168280,4778,26955,39005,239019,207286,31733,5,0.012712324454969684,0.045646853609802876,0.01771335999110945,0.012675640960951442,0.024523338305424715,0.010852827026378558,0.015817196212242552,0.013967927914425997,0.005413168191367636,0.020583390813714193,0.13911081619176552
15,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,0.9264690263700253,2.739786127954869,28.308637167105818,True,spline,0.5,3.0,16.7,1,1,2.850833511982178,0.8790461345285149,0.49068045153489326,0.8094750647773221,0.9716069483546865,0.8027086652952284,71130,2081,11969,17558,102739,88688,14051,0.8878369179676582,0.5087883947064065,0.8211905786078001,0.9730705645456913,0.8164519740712496,169255,4707,27026,38030,239019,207286,31733,5,0.010281688122432403,0.05030674135324648,0.013207311307238774,0.007709187482831228,0.015060301786861897,0.0064234319300640035,0.017015467715790926,0.008470489751640055,0.004870803455343616,0.0121065494994159,0.068966132383998
16,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,0.8094728972692514,7.8850554845745355,41.76109942989282,True,spline,0.5,3.0,16.7,1,1,2.788159903563481,0.8823162588745133,0.49620939447069823,0.8140157370165453,0.9713945034210518,0.8083613645817023,71654,2111,11939,17033,102739,88688,14051,0.8916012998596669,0.5213483058434816,0.8268170979218736,0.9748284203894574,0.8214887643639898,170278,4401,27332,37007,239019,207286,31733,5,0.010223174534610413,0.049343257544618276,0.013372852847935646,0.007575649774475967,0.016051678271763254,0.004495050067235417,0.01610312830679042,0.00556522564060941,0.0029305629738723095,0.006636221382160979,0.024575676460549926
17,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,0.052765912004360545,14.379250070161568,34.84253751789274,True,interpolate,0.11497554001066956,1.0855117611997644,16.7,1,1,1.2850245451874664,0.0015870832282520093,-0.009512044758590387,0.13618577444192856,0.7920026688907423,0.0007945866846205445,70,28,14023,88618,102739,88688,14051,0.001566474888572823,0.009804336309012219,0.13324025587999194,0.9946353278909124,0.0007838595914920158,162,0,31733,207123,239019,207286,31733,5,0.0005622636879024931,0.015996990063085373,0.03273827420663215,0.18322552320959823,0.0002818955296676972,0.0001465513552059698,0.0008005982208241793,0.013505612420518589,0.0065841201843340556,7.339142839898908e-05,0.8688547857075629
18,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,0.07532041006701384,14.297080487471861,34.422834011533524,True,interpolate,0.13694246932925702,8.145807991917973,16.7,1,1,2.1621388043502456,0.33175645027894085,0.162758887166016,0.30557777755840165,0.9857748925299115,0.19956825354113644,17647,258,13792,71041,102739,88688,14051,0.3351977175389419,0.17124367641003166,0.3063583938393585,0.9932981435477878,0.20167389312360795,41805,285,31448,165480,239019,207286,31733,5,0.015751108551220205,0.020774290764710157,0.031302164656613125,0.008668156229548507,0.01156274579135844,0.011059910481669138,0.007776858469052437,0.010330622390803958,0.0020389753719460067,0.008036588790864847,0.2607474578368485
19,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,0.05482974245442815,14.324452905931324,33.90462364116589,True,interpolate,1.162092720729982,1.1493898673844551,16.7,1,1,1.5054436026671918,0.03366123297838391,0.031972550215616916,0.14982018253082335,0.9502854511929616,0.017145294680033677,1528,79,13972,87159,102739,88688,14051,0.029697620035056493,0.04339529212835118,0.14560050885652856,0.995679145709663,0.015080793275498744,3135,13,31720,204150,239019,207286,31733,5,0.006322231850216607,0.015578853087792586,0.03149114355761288,0.05437703631806758,0.0032610740909671354,0.005248847829254193,0.0038259879361754786,0.01283963629546071,0.0030758163890095645,0.002702561348572267,1.0407567780945346
