trial_number,dataset_file,test_frac,seed,method,duration,trainride_start_seconds,signal_delta,spectrum_min_freq,spectrum_max_freq,harmonics_mask,noise_model,guard_band,noise_band,target_frequency,sliding_window_length,sliding_window_threshold,snr_threshold,f1_test,mcc_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,samples_test,samples_trainride_test,samples_no_trainride_test,f1_train,mcc_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,samples_train,samples_trainride_train,samples_no_trainride_train,n_runs,f1_test_std,mcc_test_std,accuracy_test_std,precision_test_std,recall_test_std,f1_train_std,mcc_train_std,accuracy_train_std,precision_train_std,recall_train_std,snr_threshold_std
0,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,1.6214773094993618,16.187979070224525,24.879324456362887,True,median,0.5,3.0,16.7,1,1,2.616619783561523,0.8865748375034992,0.41320671557564026,0.8154100379411334,0.9435521214913656,0.8380959966750661,123697,7507,15914,24157,171277,147855,23422,0.9005578583909581,0.5132260883972654,0.8389619072365738,0.9651885488289116,0.8448071930038511,292106,10600,42295,53458,398460,345564,52896,5,0.011892829390035099,0.06650016552256666,0.015091322598083684,0.027235209158484985,0.03752267292319822,0.01852573363462097,0.02712922328265717,0.02598686876277194,0.004322424753956972,0.034265037938005324,0.26665102252016887
1,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,1.6921408352953906,15.16199740225414,18.672485343263528,False,interpolate,0.6705141552687582,4.489553961052377,16.7,1,1,1.0,0.0,0.0,0.13576733659969487,0.0,0.0,0,0,23422,147855,171277,147855,23422,0.0,0.0,0.13254765979076452,0.0,0.0,0,0,52896,345564,398460,345564,52896,5,0.0,0.0,0.03275697748849782,0.0,0.0,0.0,0.0,0.013536678380122884,0.0,0.0,0.0
2,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,1.5707452873733294,12.703560927260266,32.07443077484393,False,median,0.5,3.0,16.7,1,1,2.541975524675916,0.9138106089846634,0.35796022321296805,0.8514028955928585,0.9155978787170491,0.9126834657197174,134979,12429,10992,12875,171277,147855,23422,0.930328072126629,0.5351231036965115,0.8814901834503022,0.9487394597219062,0.9128118039786901,315368,17046,35850,30196,398460,345564,52896,5,0.017023815550747435,0.13972115383615724,0.028297286330735666,0.03123636587424775,0.014796742526223993,0.006854321835411569,0.06319048614652849,0.01091391875135684,0.014343824318868312,0.00907053807877093,0.07605658967921568
3,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,1.617092725132549,13.292852710668166,23.599236128050215,False,median,0.5,3.0,16.7,1,1,2.7277511658356977,0.8628414223501861,0.40687816149438427,0.7839287703833832,0.9527993133038464,0.7895474278722707,116536,5805,17616,31318,171277,147855,23422,0.8752005219102145,0.4684072871562318,0.802733057751901,0.9670992113326591,0.7999036669619123,276551,9498,43397,69013,398460,345564,52896,5,0.01578047311192973,0.04497057966857662,0.01991178588261508,0.017898275213897787,0.0333939387617395,0.01630955861757805,0.01653717721956616,0.02150034534019541,0.006581433742437152,0.029569541558333926,0.20046358594440059
4,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,0.3931385851545807,11.787815100859182,38.526847862803415,False,median,0.5,3.0,16.7,1,1,2.268909783851858,0.9156810973612217,0.40949131292189733,0.8560704258457497,0.9280719315946439,0.9045863987335805,133711,10381,13040,14143,171277,147855,23422,0.9321856161941688,0.5772060566892949,0.8857025504252729,0.9596110949292876,0.9063082750796548,313193,13133,39762,32371,398460,345564,52896,5,0.013926121575529726,0.13831797548168626,0.023565843178710418,0.03401256809632139,0.013981085060682472,0.009022344301729511,0.06228575077956605,0.01471973303344475,0.011327776806582328,0.007972188549760962,0.08359355724147817
5,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,1.1862634507582837,1.0249276197887989,44.47962295385453,True,median,0.5,3.0,16.7,1,1,2.4152052102252255,0.9030154100625605,0.37889164533057373,0.8370508678224933,0.9283241859345983,0.881073768439921,130146,10184,13237,17709,171277,147855,23422,0.9197231474717634,0.5426974753772326,0.8666301133976603,0.9589243705305861,0.8840409879200785,305587,13052,39843,39977,398460,345564,52896,5,0.010342024319862165,0.1091092566135801,0.013387423858163513,0.034905536506688234,0.03054573940096391,0.017181554833911834,0.05271116406926423,0.026313430956837185,0.00710366716478279,0.029108277441620093,0.21519893569682053
6,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,1.55372181801314,9.854831489220818,42.24432800941566,True,median,0.5,3.0,16.7,1,1,2.518571187832854,0.9241593318302348,0.3921617704635466,0.8679005230315895,0.9163183119486767,0.9327094557048488,137918,12577,10844,9936,171277,147855,23422,0.9407055921077487,0.5726366254490292,0.8979699586596007,0.9482543971023649,0.9334506500456431,322529,17619,35277,23035,398460,345564,52896,5,0.01677161080304187,0.14194344161324263,0.02830625646610779,0.03116738503023554,0.009940458967031484,0.0064396654102315725,0.06470394695340537,0.010748188273784135,0.014632984739608113,0.006232534525204858,0.0518720367381207
7,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,1.9250895475986676,2.502281427268799,44.310757899985916,True,interpolate,1.6939424951628737,5.569918861635276,16.7,1,1,2.846213968564219,0.8348024359968355,0.4030452270923279,0.7483350646446628,0.9631261622748275,0.7371776094842948,108828,4193,19228,39026,171277,147855,23422,0.8476258224227161,0.4349750407947267,0.7655936303191808,0.9705829719630836,0.7525104706124658,260102,7937,44959,85462,398460,345564,52896,5,0.01668424713487761,0.045256564146681826,0.02368958900197714,0.012235558642763674,0.026542248597676198,0.009541967439212647,0.01695983231816433,0.010804213837110095,0.005765263065160475,0.01598789358986036,0.09772421948098658
8,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,1.1653951866256764,8.622404808209064,31.06420908626452,True,interpolate,1.928400135539771,4.940800335336261,16.7,1,1,2.5501544648602428,0.8550334049038482,0.43095577950591235,0.7750840999661668,0.9637892857136334,0.7688820627681758,113530,4269,19152,34325,171277,147855,23422,0.8668604208022547,0.4671441096408787,0.7917559717127962,0.9716930320682113,0.7826493022773311,270521,7917,44979,75043,398460,345564,52896,5,0.013646624702900633,0.046559348067763746,0.019799404723256808,0.011861912722252052,0.02502117913270044,0.009903809310576472,0.015826025924325134,0.011951158942302061,0.003909797046642672,0.017173752661342908,0.10527463031890066
9,tmd_s0_d3.pkl,0.3,magtrack,fft,3,0,0.11445425002231943,14.440364717049036,26.41464339418345,True,interpolate,1.2896210183658716,3.888513514900524,16.7,1,1,1.8302476014932485,0.8771761099427554,0.4821592327299822,0.8065036687846832,0.9698426980801628,0.8008398287051277,118329,3663,19758,29525,171277,147855,23422,0.8857901363561137,0.504380388229767,0.8182618502688099,0.9730395026454728,0.8129301647436267,280939,7789,45106,64625,398460,345564,52896,5,0.009216367532296318,0.04923730948373309,0.011998742484919582,0.008411931968178386,0.014935233919183624,0.005025915971815411,0.01631118423440208,0.005998624843608106,0.0024208689795762114,0.007761709283236443,0.04162730239543304
