trial_number,dataset_file,test_frac,seed,method,duration,trainride_start_seconds,signal_delta,spectrum_min_freq,spectrum_max_freq,harmonics_mask,noise_model,guard_band,noise_band,target_frequency,sliding_window_length,sliding_window_threshold,snr_threshold,f1_test,mcc_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,samples_test,samples_trainride_test,samples_no_trainride_test,f1_train,mcc_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,samples_train,samples_trainride_train,samples_no_trainride_train,n_runs,f1_test_std,mcc_test_std,accuracy_test_std,precision_test_std,recall_test_std,f1_train_std,mcc_train_std,accuracy_train_std,precision_train_std,recall_train_std,snr_threshold_std
0,tmd_s600_d10.pkl,0.3,magtrack,fft,10,600,1.6921408352953906,15.16199740225414,18.672485343263528,False,interpolate,0.6705141552687582,4.489553961052377,16.7,1,1,,0.0,0.0,0.4764513452928584,0.0,0.0,0,0,6049,6134,12183,6134,6049,0.0,0.0,0.4507920218339937,0.0,0.0,0,0,12105,14457,26562,14457,12105,10,0.0,0.0,0.1047721277703227,0.0,0.0,0.0,0.0,0.0561955211096726,0.0,0.0,
1,tmd_s600_d10.pkl,0.3,magtrack,fft,10,600,1.9641542532752208,10.24282937479159,17.285489976389492,False,interpolate,1.7459501546620273,1.4378092546327714,16.7,1,1,,0.0,0.0,0.4764513452928584,0.0,0.0,0,0,6049,6134,12183,6134,6049,0.0,0.0,0.4507920218339937,0.0,0.0,0,0,12105,14457,26562,14457,12105,10,0.0,0.0,0.1047721277703227,0.0,0.0,0.0,0.0,0.0561955211096726,0.0,0.0,
2,tmd_s600_d10.pkl,0.3,magtrack,fft,10,600,1.617092725132549,13.292852710668166,23.599236128050215,False,median,0.5,3.0,16.7,1,1,3.886524275198794,0.8223194253038535,0.6594446550608681,0.8244511417292413,0.8645949095122898,0.795350003310684,4874,859,5190,1259,12183,6134,6049,0.8418687576492727,0.677398365213594,0.837762658374466,0.8977457654324722,0.7933888925964705,11471,1315,10790,2985,26562,14457,12105,10,0.02264967187162574,0.04175027486029091,0.020228892305698916,0.0915770347384011,0.05851375346662022,0.01520274682119543,0.02291812204205009,0.008044440375904639,0.017918499457062222,0.028939040615428163,0.3917430952382221
3,tmd_s600_d10.pkl,0.3,magtrack,fft,10,600,0.06475889416803884,9.43138769484694,19.52391428789171,False,median,0.5,3.0,16.7,1,1,2.1992901220881493,0.8852990261334934,0.7805179994198361,0.8880944345429539,0.9486212028901655,0.8314758046722638,5097,283,5765,1036,12183,6134,6049,0.8834140725757942,0.7667592888595446,0.880425306669934,0.9486171724868455,0.8266404365233806,11951,647,11457,2505,26562,14457,12105,10,0.01523224939647825,0.041582857926359226,0.023713607031009384,0.03404725200299442,0.02973722564416461,0.006935605486911094,0.025378720832750102,0.011594569536677812,0.006256024082510154,0.009363894540455575,0.09137268452067375
4,tmd_s600_d10.pkl,0.3,magtrack,fft,10,600,0.3931385851545807,11.787815100859182,38.526847862803415,False,median,0.5,3.0,16.7,1,1,5.511266094412992,0.7730735406334919,0.5578378404365056,0.7549235609170231,0.8075670719631223,0.799389808436845,4898,1793,4255,1235,12183,6134,6049,0.8547241165632634,0.7197219123234537,0.8551277120397967,0.921058137812131,0.8087548331325317,11695,1108,10997,2761,26562,14457,12105,10,0.04792095411857318,0.15915260875816062,0.07901947981290795,0.18835607994801193,0.12289402888022037,0.040929447996363874,0.03648692042467182,0.02543340652583876,0.04412556722612686,0.10550279638763041,2.1913809804538666
5,tmd_s600_d10.pkl,0.3,magtrack,fft,10,600,1.015762006701772,12.217705403044603,35.6104260756053,False,median,0.5,3.0,16.7,1,1,6.098485420525464,0.7481856544861114,0.5054393397778408,0.7221747709102858,0.7734625754408881,0.7982974090274186,4893,2190,3858,1240,12183,6134,6049,0.8334838416087729,0.680310386207997,0.8340336035162499,0.8937173049556263,0.8020192133251332,11596,1580,10524,2860,26562,14457,12105,10,0.03930032398773779,0.16199029819766436,0.07340227166448116,0.19851185037049354,0.14407452608135282,0.05420389233083445,0.04004582405874077,0.030588612924643394,0.05996775702280055,0.13922701928007694,3.000746010028184
6,tmd_s600_d10.pkl,0.3,magtrack,fft,10,600,1.8113416345490863,13.176533141991234,17.276392654059197,True,median,0.5,3.0,16.7,1,1,3.8176924875750964,0.8042756210320464,0.644038955029737,0.8152966941280463,0.8991471521713915,0.73141936052811,4483,540,5508,1650,12183,6134,6049,0.7914000282555919,0.5963141133592023,0.7919444252370702,0.8772363999019008,0.7210521559028813,10423,1461,10644,4033,26562,14457,12105,10,0.02959454667805907,0.07722474075626094,0.0401877713791079,0.07353918866455922,0.035287800684798955,0.016599797165271345,0.03930204396149301,0.020579784096935255,0.021991503951662696,0.0170492425876596,0.13545349352910704
7,tmd_s600_d10.pkl,0.3,magtrack,fft,10,600,1.5707452873733294,12.703560927260266,32.07443077484393,False,median,0.5,3.0,16.7,1,1,5.945927804744047,0.7485325841208819,0.5099447010820415,0.7286652474329749,0.7881966446387962,0.7772766093003944,4762,1988,4061,1371,12183,6134,6049,0.828352616985212,0.6685553771733062,0.8292038313694106,0.8951650968476077,0.7857357965310529,11363,1467,10637,3093,26562,14457,12105,10,0.04589314439221699,0.16852177833205567,0.07971242393426335,0.1933488074104237,0.13403930997996552,0.04703764365193943,0.032691089142664886,0.02553011587445157,0.047777192142954415,0.12039813873339218,2.2487212899223272
8,tmd_s600_d10.pkl,0.3,magtrack,fft,10,600,1.6214773094993618,16.187979070224525,24.879324456362887,True,median,0.5,3.0,16.7,1,1,4.146101433260572,0.8241294406182151,0.660394106981637,0.8237009283872883,0.8571974537731523,0.8089960311037826,4958,969,5080,1176,12183,6134,6049,0.8597731251945261,0.7154054325916612,0.856622510113402,0.9166468365239624,0.8108814768643147,11725,1075,11029,2731,26562,14457,12105,10,0.027524694147865646,0.05240005277063329,0.024836392247046955,0.10858851159297292,0.06092952434837971,0.01845840758752234,0.01855280766916606,0.00799155824430162,0.013814966386301935,0.039004914659650565,0.5703192607705893
9,tmd_s600_d10.pkl,0.3,magtrack,fft,10,600,1.1074772961855777,15.821941228436938,20.995213354694904,True,median,0.5,3.0,16.7,1,1,3.6786774221703835,0.8370548650453496,0.6925613439604439,0.8412430982436385,0.8951993677504733,0.7930389259002608,4860,620,5429,1273,12183,6134,6049,0.8474690776849346,0.6963312697824325,0.8452069938872638,0.9170402665817589,0.7881198664410245,11394,1034,11071,3062,26562,14457,12105,10,0.01513459943932183,0.03330058692831274,0.02170052138583522,0.06974579791013323,0.05094081785165508,0.011797709526401044,0.02284123402456852,0.009050403695157073,0.012254531923554432,0.021179531750657316,0.3338710082407067
