trial_number,dataset_file,test_frac,seed,method,duration,trainride_start_seconds,signal_delta,spectrum_min_freq,spectrum_max_freq,harmonics_mask,noise_model,sliding_window_threshold,guard_band,noise_band,target_frequency,sliding_window_length,snr_threshold,f1_test,mcc_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,samples_test,samples_trainride_test,samples_no_trainride_test,f1_train,mcc_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,samples_train,samples_trainride_train,samples_no_trainride_train,n_runs,f1_test_std,mcc_test_std,accuracy_test_std,precision_test_std,recall_test_std,f1_train_std,mcc_train_std,accuracy_train_std,precision_train_std,recall_train_std,snr_threshold_std
0,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,0.7096090323344545,9.985001568845146,27.583642472433816,False,median,0.10685855054822052,0.5,3.0,16.7,5,3.934841416560404,0.8113878563729455,0.7064769539497666,0.8409626293738602,0.7355060776599983,0.9407911080213053,2950,1325,4230,186,8692,3136,5555,0.8529380724614816,0.7593622233383888,0.8788670891650417,0.7799301291357988,0.9417724045965187,6950,1971,10606,429,19957,7379,12577,10,0.10584407932938174,0.13114627740459772,0.08189390601167156,0.17645556730056375,0.025549430682770068,0.01671226955871659,0.02031957562102969,0.013850968475181556,0.02655526931683977,0.014732157892339419,0.3205351005603902
1,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.0411770538233565,7.02051765332155,42.291059367884316,True,median,0.22712560722014194,0.5,3.0,16.7,5,6.360278208609126,0.8149432890976145,0.7138583263475295,0.8499591388618161,0.8285905223936643,0.8381089873771085,2626,843,4712,509,8692,3136,5555,0.8616152571738231,0.7853900831017695,0.8997256015532799,0.8971880615211297,0.8330450169733812,6148,740,11837,1231,19957,7379,12577,10,0.09380344411363122,0.12610272033637876,0.0945550911410239,0.17745652461659908,0.06218791407696746,0.01034505361541571,0.016889792658910482,0.013908777192352234,0.041454725504209665,0.04998414276303219,1.0613863102664667
2,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,0.8060700248946817,11.102244441078836,30.861966733505643,True,median,0.4394115689678597,0.5,3.0,16.7,5,5.223212803622387,0.8167250774363868,0.7178254871154435,0.8558032840479436,0.8663325892479555,0.801529659499938,2512,587,4967,623,8692,3136,5555,0.8572849756742453,0.7902286000785661,0.9020630538468437,0.9364236724798769,0.7940972694690113,5860,418,12159,1518,19957,7379,12577,10,0.07266645604278499,0.12245914272015633,0.07733576334349622,0.16493891685184955,0.06850439332038628,0.019960349761558718,0.01602491570022425,0.010142581873042414,0.030811954414914588,0.055617923534141585,0.8536016887975737
3,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.151236372782532,12.19696412018378,26.70987002519614,True,median,0.31256008273082303,0.5,3.0,16.7,5,4.487855582250195,0.8427527124714056,0.7533211517124461,0.8795140391422767,0.8282926020414333,0.8778020683069816,2751,689,4866,384,8692,3136,5555,0.8728956302342613,0.7960039992104864,0.9048849867050978,0.8732863887081009,0.8741538004802013,6451,949,11627,928,19957,7379,12577,10,0.06218010055117556,0.07815305443870428,0.041221018139412195,0.13584782192472444,0.048844199218391525,0.012106123615898702,0.01718321953365551,0.011208558332470527,0.028875413780289773,0.030347981294662284,0.4634465214815996
4,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,0.45346637315910154,10.58391162064007,34.81335827188842,True,median,0.15779047227472845,0.5,3.0,16.7,5,5.504189046962333,0.7813700243579085,0.6434819867439536,0.7996756416518644,0.7288086652359624,0.9017438078950473,2827,1552,4002,309,8692,3136,5555,0.850651212305781,0.75655166528274,0.8822286037451257,0.8092259866426161,0.8993672327192023,6637,1590,10987,742,19957,7379,12577,10,0.12808995975925502,0.20658889195687333,0.14757287129815921,0.21339726509715173,0.04990633048443604,0.016451633792830437,0.01914699337790047,0.013356421767403131,0.03692634463194731,0.03699375701003132,0.9696532825560696
5,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.4343546821808433,12.724174322091937,22.296808897031184,False,spline,0.1264114525679899,0.5,3.0,16.7,5,4.716262863503458,0.8194211006708952,0.7091186834702068,0.8579384944214103,0.7794035263239859,0.8806471436277263,2761,900,4654,375,8692,3136,5555,0.8124754799408194,0.6899053939213102,0.8483503006548035,0.7548100000963138,0.880774429436371,6499,2129,10448,879,19957,7379,12577,10,0.07198938865704663,0.0825758362574314,0.04251434737449255,0.1304444067633435,0.028071463179588904,0.021234245539653324,0.028555276402833486,0.016901057540829413,0.035076904846232645,0.011777421941505868,0.16737341791118765
6,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,0.3015215480737748,10.25463433483635,17.13819872238248,False,spline,0.17633956214399485,0.5,3.0,16.7,5,4.09918321668642,0.8006168986937594,0.6761431706109656,0.8358083161283698,0.7240855802636468,0.9125243778219204,2861,1207,4348,275,8692,3136,5555,0.8082107582887443,0.6816856724717059,0.8389905819318718,0.7280844576957675,0.9086337768528274,6705,2511,10065,674,19957,7379,12577,10,0.06763008865649384,0.05031050586958945,0.027083922061279114,0.11687122604911104,0.024038070636263613,0.015138669520841572,0.019454282520861108,0.014528321303327985,0.02292636240676584,0.008269786662514676,0.17914314402721804
7,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.9637594557148688,13.358306791316046,18.696142837573188,True,spline,0.2885496036585776,0.5,3.0,16.7,5,0.5417508783213507,0.5545683835816181,0.05923415291935789,0.42134955390295153,0.4017783600043511,0.9528228008421653,2988,5140,414,148,8692,3136,5555,0.548544743341385,0.07224126874656908,0.41225812402522993,0.3863831751651225,0.9574890555964378,7066,11522,1055,313,19957,7379,12577,10,0.11508337292259721,0.04441963093155173,0.10672496543484689,0.11789056675227655,0.01645898852727782,0.05380680475271803,0.02115034883894001,0.04581422100612789,0.054305410674258224,0.014454819315649585,0.5481218703171744
8,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.1259362854261186,6.69262516234928,30.005129155225596,True,interpolate,0.7204222305604099,1.6311830195121988,9.87998815295728,16.7,5,4.139509769259026,0.8211988703002826,0.7461867030472648,0.8754136667576858,0.9583686942042927,0.7214194051508777,2261,102,5452,875,8692,3136,5555,0.817718962239724,0.7479081285811988,0.8812492613178501,0.954829303082725,0.7156827292897805,5282,251,12326,2097,19957,7379,12577,10,0.034040038844979144,0.05765069562250973,0.04561759841555561,0.029676850920410117,0.05711687589748383,0.019012945032946166,0.013417917690890705,0.010733585541509156,0.010707748844628674,0.03018324588547369,0.428727065298224
9,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.0471342448226424,10.584458270266733,26.882787063732753,False,interpolate,0.11389284812372608,0.8095022208054473,3.3011524146811047,16.7,5,3.509182860080229,0.835433128804944,0.7379920817647511,0.8675844450007556,0.7662336376169882,0.9353439913457425,2933,1010,4545,203,8692,3136,5555,0.8298981670194031,0.720942807436998,0.8573954124359565,0.7466964523193846,0.9348372201100904,6898,2355,10221,480,19957,7379,12577,10,0.07359305651501033,0.08089874171030031,0.04347330614804721,0.12715010965682907,0.021441566684130834,0.02242788137920935,0.026638686911299107,0.01664135095045632,0.033636720770332564,0.006998630616792818,0.09886305271388805
10,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.1972906543384023,14.835171976775321,22.063703391700223,False,interpolate,0.5086744557589467,1.0543570451393782,9.977335408040044,16.7,5,4.048165307421262,0.8467617144571976,0.7721956415955357,0.8908549889680589,0.9460975305222933,0.7687870009377558,2410,144,5411,726,8692,3136,5555,0.8420237424045653,0.769433410061192,0.8923338921259326,0.9363066098929913,0.7651438406507772,5646,385,12192,1733,19957,7379,12577,10,0.023099835611308846,0.04579688501983778,0.03466929898861504,0.04164167941561538,0.04210239790817415,0.01062507346346865,0.017187972788591157,0.013596455160612532,0.01457368042832148,0.013024164532319579,0.17296420679751
11,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.5952171766261822,0.6377991972450161,19.187991782890304,False,spline,0.4966019208175164,0.5,3.0,16.7,5,4.342039781550569,0.8590536232187758,0.7842436779904254,0.898159618382136,0.9306297251150906,0.800501118271829,2509,198,5357,626,8692,3136,5555,0.8518494717262731,0.7760251993743876,0.8964167123965154,0.9153513485221684,0.796913050859286,5881,547,12030,1498,19957,7379,12577,10,0.025534516817706705,0.04630760193194083,0.030531920421620735,0.05468368514667664,0.03699899810586909,0.01254656800904361,0.01602421888098234,0.010998125371762667,0.020738521599476187,0.0152276036477047,0.15828129415673695
12,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.218235038098384,3.2711320399465458,32.32974440805856,False,interpolate,0.7288942712151384,0.8600023490869851,3.474794522398886,16.7,5,3.6225238389046908,0.8265433867575631,0.7514258761484133,0.8794207555216845,0.9573854874517389,0.7290805639778695,2285,106,5449,851,8692,3136,5555,0.8203854283329006,0.747414682690838,0.8811406773765811,0.9462470320821799,0.7242527068596203,5345,304,12273,2034,19957,7379,12577,10,0.024326780333705923,0.04789699841510786,0.038871985767410744,0.03416519688673215,0.04107320590076406,0.010978543707003364,0.015110466799765096,0.014110405979423892,0.012864565405793492,0.014788375815069976,0.13361726695335924
13,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,0.20600051657540086,8.810044304388121,37.222297617348154,False,interpolate,0.8565889662439512,0.877858090690217,9.397493798660726,16.7,5,3.0765049023792566,0.8039766662892353,0.7382406373170803,0.8684152945978747,0.9947938061576892,0.6758200263555605,2118,11,5544,1018,8692,3136,5555,0.8001377752907846,0.7399794803482518,0.8741778604569553,0.9878058231633743,0.6726165311514342,4964,61,12516,2415,19957,7379,12577,10,0.030209753819813064,0.05649512491554919,0.047741099788398564,0.004280046335498833,0.043460996769888606,0.013002898562711421,0.012375662995463334,0.014402608545264475,0.0015291433013717988,0.018799369197719348,0.1642561884958553
14,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,0.6505156463512732,14.183438813143733,25.320075251278002,False,interpolate,0.18384654187991548,0.7160777651244039,5.8807561248635185,16.7,5,3.481462550556857,0.8468722272633379,0.7576650769458003,0.880273145252476,0.7858559374983316,0.9324437439375959,2924,891,4663,212,8692,3136,5555,0.8480972094420686,0.7504075702332274,0.8751556019395773,0.7785596364639923,0.9322661433840211,6879,1972,10604,499,19957,7379,12577,10,0.06896995434071583,0.07131644266095248,0.03484452104426777,0.1201928463188056,0.021579775554533564,0.019738013257892872,0.02979411821254573,0.018705757328782442,0.03336224689719189,0.007018824349754962,0.12963812787997567
15,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,0.7830020394249624,9.122507184282401,43.98203486768769,False,interpolate,0.7023297173951742,0.6978855189809161,2.6627877979411516,16.7,5,3.458891033516425,0.8374791525792498,0.7676940465243967,0.8864175284085076,0.9713796134713901,0.7373675889942953,2311,70,5485,825,8692,3136,5555,0.8314712596166774,0.7650499699863762,0.8884379314695195,0.962200649563892,0.7321486332493272,5403,212,12364,1976,19957,7379,12577,10,0.023215107772787864,0.048639914220546004,0.039366672834888844,0.021722573349438803,0.038737970749427725,0.00785180438587111,0.015985161942066162,0.015336972858855167,0.008486992670259482,0.012197846439811012,0.10188698615829163
16,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.3399010070990618,14.63081817701257,20.685494512334547,False,interpolate,0.2574014660226591,0.8266270764304857,4.1502948638268435,16.7,5,4.088722720837863,0.8621707446739728,0.7837298259666905,0.8988551417586649,0.8963332190438816,0.836092902081998,2620,328,5226,515,8692,3136,5555,0.8574982456635766,0.7760672900254924,0.8966966746229122,0.8849001522539195,0.8322815432531255,6142,805,11772,1237,19957,7379,12577,10,0.03157022183085309,0.04722345168838572,0.026095183616647703,0.07581092088774315,0.04062456416407753,0.013710510590234747,0.018490724118147357,0.01146063463271868,0.025067163677864972,0.01645920612135005,0.2355124812299811
17,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.5177692655120505,10.569726507627612,40.451146446737816,True,interpolate,0.3871899176532416,1.8957878590651573,1.3594821621494144,16.7,5,3.9736213811997096,0.8517046653649667,0.7647986765051465,0.8900473688711876,0.8731791401584671,0.838285664092475,2628,422,5133,508,8692,3136,5555,0.8395105823322802,0.7435613198660334,0.8809901076752812,0.8457181139328049,0.8340677267007578,6155,1133,11444,1224,19957,7379,12577,10,0.04353956385385797,0.06570800804330332,0.032565855193916395,0.09650228630446007,0.032852527702172986,0.018984617445718895,0.0267749612260085,0.014851149066916359,0.03327586194160704,0.01422904964209027,0.129208890152148
18,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,0.598738667496701,9.345547282307587,24.386727862250652,True,interpolate,0.5306980221383981,0.5113077324015349,7.897537687724838,16.7,5,3.327118586068567,0.8945341188852884,0.8353504694728622,0.921990865657083,0.9561313043070706,0.8418705883689453,2639,125,5430,496,8692,3136,5555,0.8873922040717254,0.8289892730638162,0.9205292709308782,0.9449426039502515,0.836597870148057,6173,360,12216,1205,19957,7379,12577,10,0.01774323250635275,0.03780334015369419,0.02596227150492085,0.03122246960829554,0.033062933623881095,0.00839476973362242,0.012172927487494696,0.009121386897622298,0.011626275871415409,0.012176950847699482,0.11897499621595979
19,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,0.37593723272788804,0.6203417524470859,32.728229902875114,False,interpolate,0.560995653166619,0.46977120698777786,3.21832308239091,16.7,5,3.168243585621341,0.8972456114193769,0.8410249510867512,0.9242529035753908,0.9688391182559718,0.8364804012484972,2622,86,5469,513,8692,3136,5555,0.8897765633471068,0.834595530291087,0.9226785327311993,0.9569761285303257,0.8315545183200085,6136,276,12300,1242,19957,7379,12577,10,0.016475318388073604,0.036748184390652416,0.025641617908569617,0.02292453944362774,0.03016337207485926,0.007384971120828185,0.013183468559719224,0.01021114685481864,0.009036908237599554,0.012913764784549654,0.09884391930886612
20,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,0.48716553992568706,8.961049928411388,31.274604361326055,False,interpolate,0.669813686041186,0.73108301798248,4.688261106738359,16.7,5,3.2882490035792253,0.8540519552131152,0.7895344064368294,0.8965355179967913,0.9808503596349423,0.7574892676996524,2374,47,5507,761,8692,3136,5555,0.848868194645398,0.7882703580052947,0.8994686226926463,0.9716822041544626,0.7538042552508915,5563,162,12415,1816,19957,7379,12577,10,0.021469259065969762,0.04788586092671704,0.0375093074725493,0.015143473525178197,0.03807769510756644,0.011004184464130427,0.013410088490549928,0.012051608773147985,0.0049801521989959316,0.017387213103565745,0.15319849710880007
21,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.093961451449189,7.741811867011698,36.69697235814567,False,interpolate,0.14539057336469688,0.8125271256861001,3.6791549390926734,16.7,5,3.495918936842609,0.8374067274607568,0.7401493606055557,0.8690362844409014,0.7664671689561402,0.9379595880003715,2941,1001,4554,195,8692,3136,5555,0.8329450414332644,0.7271017547449683,0.8599111471335977,0.749204974229156,0.9396105400349798,6934,2351,10226,445,19957,7379,12577,10,0.07296447035555757,0.08018219381319004,0.042812402433148336,0.12216490212191446,0.020003191240151187,0.026282137906126494,0.030246550949698577,0.01845074547709764,0.04304352139610398,0.006563701133720851,0.08755923274419547
22,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.3115946167351142,7.5276287104985595,42.16354142738584,False,spline,0.7169115150823139,0.5,3.0,16.7,5,4.0636157150173,0.8381165559411384,0.7642906773326763,0.8860232463731759,0.9549989718212986,0.7487225740067143,2347,115,5440,789,8692,3136,5555,0.8328714654001736,0.76176694372786,0.88821517641402,0.9458005974964502,0.7442577293150135,5492,315,12261,1887,19957,7379,12577,10,0.024845858002250386,0.04839478774865112,0.03805270311645888,0.03483315296219564,0.041948403252802954,0.011620465545883337,0.013549343261710775,0.012411169388356489,0.013124508972967668,0.01655252770960753,0.17375542236007263
