trial_number,dataset_file,test_frac,seed,method,duration,trainride_start_seconds,signal_delta,spectrum_min_freq,spectrum_max_freq,harmonics_mask,noise_model,guard_band,noise_band,target_frequency,sliding_window_length,sliding_window_threshold,snr_threshold,f1_test,mcc_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,samples_test,samples_trainride_test,samples_no_trainride_test,f1_train,mcc_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,samples_train,samples_trainride_train,samples_no_trainride_train,n_runs,f1_test_std,mcc_test_std,accuracy_test_std,precision_test_std,recall_test_std,f1_train_std,mcc_train_std,accuracy_train_std,precision_train_std,recall_train_std,snr_threshold_std
0,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.6921408352953906,15.16199740225414,18.672485343263528,False,interpolate,0.6705141552687582,4.489553961052377,16.7,1,1,,0.0,0.0,0.6067492762852087,0.0,0.0,0,0,5555,3136,8692,3136,5555,0.0,0.0,0.6232359116733172,0.0,0.0,0,0,12577,7379,19957,7379,12577,10,0.0,0.0,0.11521406135968044,0.0,0.0,0.0,0.0,0.055663178871179414,0.0,0.0,
1,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.9641542532752208,10.24282937479159,17.285489976389492,False,interpolate,1.7459501546620273,1.4378092546327714,16.7,1,1,,0.0,0.0,0.6067492762852087,0.0,0.0,0,0,5555,3136,8692,3136,5555,0.0,0.0,0.6232359116733172,0.0,0.0,0,0,12577,7379,19957,7379,12577,10,0.0,0.0,0.11521406135968044,0.0,0.0,0.0,0.0,0.055663178871179414,0.0,0.0,
2,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.015762006701772,12.217705403044603,35.6104260756053,False,median,0.5,3.0,16.7,1,1,7.653318153176778,0.7131075293745022,0.5634435507315187,0.7520153275443573,0.7735504834454076,0.755403454378798,2365,1497,4058,771,8692,3136,5555,0.7959092197639057,0.706151505556019,0.8612519081567014,0.883809559408847,0.7440410706079505,5494,855,11722,1885,19957,7379,12577,10,0.11111391502764915,0.207010149935636,0.14517056813287513,0.2572146562782416,0.12617878504084082,0.036315288625943305,0.020641899901473543,0.01369784239618614,0.06972917276222693,0.12649808956477987,2.88486090611281
3,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,0.06475889416803884,9.43138769484694,19.52391428789171,False,median,0.5,3.0,16.7,1,1,2.357455583911754,0.8803374497631399,0.8121894926984385,0.9125682256181387,0.9343105762040066,0.8337287488372851,2614,189,5366,522,8692,3136,5555,0.8744396160226511,0.8070208165649241,0.9105534410623684,0.9243200864612687,0.829810689047904,6123,502,12074,1255,19957,7379,12577,10,0.01521365044658113,0.0305645628682817,0.022494971753125436,0.039098019673060036,0.022873480857188298,0.006456945778730334,0.014453661278857678,0.011301031900760556,0.012922998854801016,0.008305114614858878,0.042126218161349475
4,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.617092725132549,13.292852710668166,23.599236128050215,False,median,0.5,3.0,16.7,1,1,4.393682752806669,0.8096888583180057,0.7060372481762967,0.8620385565185705,0.8510035803781542,0.7812197036361642,2449,474,5081,687,8692,3136,5555,0.8149284259886851,0.7136862923588332,0.8682883842497858,0.8588807526076314,0.7762110255970827,5728,949,11628,1650,19957,7379,12577,10,0.03380543743639907,0.042274531726806244,0.024243816355844282,0.09559424472121049,0.044629515391010156,0.015037082389537463,0.01902940204920248,0.013779155713743566,0.026208285034836985,0.02503855587644065,0.3719301149932032
5,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.5707452873733294,12.703560927260266,32.07443077484393,False,median,0.5,3.0,16.7,1,1,7.332758457371527,0.7284077483502005,0.5756654725637297,0.7722967404048224,0.7854131021388762,0.7427335150775788,2328,1171,4384,808,8692,3136,5555,0.790247689278013,0.6960015458815664,0.8571802785604868,0.8797292159962329,0.7304501769737087,5391,830,11746,1988,19957,7379,12577,10,0.0937651481568595,0.1987701202765317,0.1403324447054935,0.21882815239183467,0.10180131250270907,0.027151690305066672,0.017052366809597617,0.01331222927411992,0.060835584320591954,0.09945039975136666,2.0356588939385682
6,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,0.3931385851545807,11.787815100859182,38.526847862803415,False,median,0.5,3.0,16.7,1,1,6.326149042307298,0.7440479994608308,0.6077032706644376,0.7812261446553893,0.7783572571126497,0.7902920241107662,2475,1348,4206,661,8692,3136,5555,0.8310747869803171,0.7492495970329354,0.8830814121972148,0.8994285680419205,0.7825680383847399,5777,708,11869,1601,19957,7379,12577,10,0.11510041780461304,0.1879069200328748,0.12916409818254776,0.24418905209368863,0.09800436670202385,0.027747693569823203,0.021024355026264183,0.012949966696059719,0.047701110192728026,0.09160282239117865,2.0080608414009355
7,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,0.1144245471540157,12.466810048510784,27.020713930832514,True,median,0.5,3.0,16.7,1,1,3.3100574880862985,0.8661278168117992,0.7897097597202696,0.9019482007347998,0.8928997782756621,0.8476094968785078,2657,350,5204,479,8692,3136,5555,0.8802761362586438,0.8144340454393809,0.9143661133807421,0.920326971276382,0.8441207624902359,6229,541,12035,1149,19957,7379,12577,10,0.027604668148420313,0.03314882335596842,0.01767318675261692,0.08079666158963443,0.03556878044548747,0.010428914237256726,0.009666770532769502,0.007818459120559396,0.012263232026777308,0.023429326271504052,0.33032843107800186
8,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.8113416345490863,13.176533141991234,17.276392654059197,True,median,0.5,3.0,16.7,1,1,4.190485463407813,0.7843632445493045,0.6749337556899918,0.8469623931673494,0.8657193141290206,0.7249434465802865,2272,398,5156,863,8692,3136,5555,0.7671470715948314,0.6442394079841246,0.8366507287193505,0.8234897353831659,0.7183447289007078,5300,1141,11435,2078,19957,7379,12577,10,0.03752230602426971,0.06705293841834689,0.03971582532482301,0.1041193070654457,0.03913907346348222,0.01827791324601989,0.029936526697650904,0.02013820442016782,0.02990096838908074,0.013958704063311282,0.14978337814823234
9,tmd_s300_d10.pkl,0.3,magtrack,fft,10,300,1.6214773094993618,16.187979070224525,24.879324456362887,True,median,0.5,3.0,16.7,1,1,4.774272817241431,0.8116286649663517,0.7118339803957079,0.8624795498818244,0.8495027051416191,0.792244103777856,2483,519,5036,653,8692,3136,5555,0.8379537915323019,0.7531214570684106,0.886454896877799,0.8947499432450737,0.7894058516823896,5826,692,11884,1553,19957,7379,12577,10,0.03924551308743774,0.048587534417347186,0.024979734009352963,0.11775416114642653,0.0553013517169203,0.017189813303463412,0.013566497799596,0.009824064833872203,0.019773745726655204,0.03750165832681634,0.6418968209223193
