trial_number,dataset_file,test_frac,seed,method,duration,trainride_start_seconds,signal_delta,spectrum_min_freq,spectrum_max_freq,harmonics_mask,noise_model,sliding_window_threshold,guard_band,noise_band,target_frequency,sliding_window_length,snr_threshold,f1_test,mcc_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,samples_test,samples_trainride_test,samples_no_trainride_test,f1_train,mcc_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,samples_train,samples_trainride_train,samples_no_trainride_train,n_runs,f1_test_std,mcc_test_std,accuracy_test_std,precision_test_std,recall_test_std,f1_train_std,mcc_train_std,accuracy_train_std,precision_train_std,recall_train_std,snr_threshold_std
0,tmd_s60_d3.pkl,0.3,magtrack,fft,3,60,0.7096090323344545,9.985001568845146,27.583642472433816,False,median,0.10685855054822052,0.5,3.0,16.7,9,4.4259413398152985,0.5559529831151203,0.5357572619999794,0.8358211170546606,0.5044688393552208,0.8065599605581344,1741,3532,15761,418,21452,2159,19293,0.5893430264048255,0.5449838069124259,0.8737515326060057,0.48262859174592565,0.7754595220161337,3906,4397,36563,1129,45997,5036,40960,10,0.19860332960921898,0.1884206544498482,0.10656797445732663,0.3013892497602038,0.07283140536779577,0.038459568943799025,0.03401706157610541,0.042534206627103215,0.05740425690016126,0.07687663216404134,0.7986408646816817
1,tmd_s60_d3.pkl,0.3,magtrack,fft,3,60,1.151236372782532,12.19696412018378,26.70987002519614,True,median,0.31256008273082303,0.5,3.0,16.7,9,5.339725235358791,0.6951002807188308,0.6690850515789595,0.935118090957818,0.7495999171419562,0.6726548109316424,1452,602,18690,707,21452,2159,19293,0.6573745986110325,0.6199792559438522,0.9264134151433436,0.7042907247654294,0.6236764224025957,3142,1384,39576,1894,45997,5036,40960,10,0.07299916518997984,0.08193265565413962,0.017606138874168474,0.17315482372312546,0.06798059497407201,0.033648275266124156,0.03394342156626628,0.01573660831835506,0.07162779713837557,0.05390224787560531,0.8554877713991854
2,tmd_s60_d3.pkl,0.3,magtrack,fft,3,60,1.0411770538233565,7.02051765332155,42.291059367884316,True,median,0.22712560722014194,0.5,3.0,16.7,9,7.686451284026878,0.6924266923950793,0.6695189666561872,0.9376201835183224,0.7903718712556975,0.6307611174516368,1361,423,18870,797,21452,2159,19293,0.6741020657396739,0.6501373920927099,0.9362771285592665,0.7994541020210781,0.5861562994999127,2953,761,40198,2083,45997,5036,40960,10,0.05079839084604014,0.056865968715131075,0.016352524567337823,0.1367285105180912,0.059547536487570905,0.0311872274717581,0.02672252769229958,0.011109098995469873,0.04952675925767208,0.04789556500104324,1.1730960613014532
3,tmd_s60_d3.pkl,0.3,magtrack,fft,3,60,0.45346637315910154,10.58391162064007,34.81335827188842,True,median,0.15779047227472845,0.5,3.0,16.7,9,6.840890053593337,0.7056132280424078,0.682841319657921,0.9369261531773004,0.7589908578454337,0.6908181966983469,1491,658,18634,667,21452,2159,19293,0.7076602634344018,0.6788390030104742,0.9391050415020745,0.7821674860719977,0.6502696785341836,3276,951,40009,1760,45997,5036,40960,10,0.07615535925120057,0.07476668686195574,0.017643509014723578,0.17801686024158217,0.05855025851708555,0.027458045281634043,0.028359489838791933,0.013352594363170902,0.06044632331332755,0.039176713896554034,0.8606581731545837
4,tmd_s60_d3.pkl,0.3,magtrack,fft,3,60,0.8060700248946817,11.102244441078836,30.861966733505643,True,median,0.4394115689678597,0.5,3.0,16.7,9,6.298173645303855,0.6967619626664839,0.6795232072218679,0.9400215440604158,0.8374273425013763,0.6056956701121436,1307,284,19008,851,21452,2159,19293,0.659056651467796,0.6418343683472838,0.9356270405173183,0.8261733879365076,0.5517648304673285,2779,610,40349,2257,45997,5036,40960,10,0.05123055050822338,0.05645808513828021,0.02006428577175225,0.11075962932006184,0.06710610555153892,0.02535505623453357,0.021301983370512617,0.011564288611805272,0.05533420513277262,0.04308688889027648,0.9503996410247149
5,tmd_s60_d3.pkl,0.3,magtrack,fft,3,60,1.4343546821808433,12.724174322091937,22.296808897031184,False,spline,0.1264114525679899,0.5,3.0,16.7,9,8.440809150608107,0.6621073802099204,0.6418537771714765,0.9315349925584219,0.7896453499672195,0.5918829307882936,1277,460,18832,881,21452,2159,19293,0.6245901080603715,0.5910688547848784,0.9249860163205031,0.7242220235726324,0.5512553292285192,2776,1079,39881,2260,45997,5036,40960,10,0.06149834786277032,0.08133380514947415,0.022378128635795216,0.1929059378829443,0.042395517636641844,0.030565209050783783,0.031669864786155265,0.014467701949926493,0.05521458872826585,0.03284239849541925,1.2166066028650144
6,tmd_s60_d3.pkl,0.3,magtrack,fft,3,60,0.3015215480737748,10.25463433483635,17.13819872238248,False,spline,0.17633956214399485,0.5,3.0,16.7,9,1.9320135471403788,0.23352563834186216,0.11495982026657173,0.291943166179962,0.13571304864159178,0.9369260886348834,2023,15379,3913,136,21452,2159,19293,0.22776502490314363,0.10776287824737965,0.28139037916414705,0.13023944936182857,0.9370573571646004,4720,32733,8227,316,45997,5036,40960,10,0.07543182033443284,0.03191096589470623,0.05871062159814307,0.04911417274599176,0.0222112247593344,0.039513419624456994,0.016017008964117438,0.02683065647068872,0.026156696002538032,0.01339721253153388,0.10538206816350267
7,tmd_s60_d3.pkl,0.3,magtrack,fft,3,60,1.9637594557148688,13.358306791316046,18.696142837573188,True,spline,0.2885496036585776,0.5,3.0,16.7,9,625683.7664306115,0.23092336169034883,0.08538529383667026,0.48390572909658935,0.14269825179974266,0.6750660647486942,1457,10483,8809,701,21452,2159,19293,0.2431715131259648,0.11423747284210309,0.5202017396549905,0.14940166062587654,0.6799631100190369,3425,20526,20434,1611,45997,5036,40960,10,0.0746546725677308,0.04244910579687646,0.036162191226195975,0.05417722278939015,0.029699285617974542,0.04619408286617991,0.022695687010270874,0.021658076644725088,0.035450236828840166,0.015706626693783858,404488.46274192084
8,tmd_s60_d3.pkl,0.3,magtrack,fft,3,60,1.5952171766261822,0.6377991972450161,19.187991782890304,False,spline,0.4966019208175164,0.5,3.0,16.7,9,6.875136631122144,0.6306340733157569,0.6243352531239477,0.9314048918156838,0.850941231830261,0.5132799725611507,1108,248,19045,1050,21452,2159,19293,0.596501091182184,0.5892348935644944,0.9284296496866148,0.8291910561623934,0.46877530635659365,2361,506,40454,2675,45997,5036,40960,10,0.04010376998049415,0.04959097651677808,0.022381646959657688,0.14659390046458406,0.05376798770774753,0.03352429229419929,0.02691390768566793,0.01355273535675539,0.05783738291489274,0.04168000138925717,1.3280626690440973
9,tmd_s60_d3.pkl,0.3,magtrack,fft,3,60,1.093961451449189,7.741811867011698,36.69697235814567,False,interpolate,0.14539057336469688,0.8125271256861001,3.6791549390926734,16.7,9,4.7599172369894,0.6799417338406355,0.6539735114206554,0.9268859129795274,0.7228337443503243,0.6861277008058092,1481,853,18439,677,21452,2159,19293,0.6259731829453887,0.578223050465207,0.9131211347392256,0.6109189076833837,0.6461001996665411,3255,2115,38845,1781,45997,5036,40960,10,0.11131504772191729,0.12334960200223578,0.029816317526469325,0.23909243988174816,0.03374888226164602,0.043113742417363515,0.042929713777606654,0.015269901753026628,0.0589632810350092,0.0518262366142678,0.6685923770472983
