trial_number,dataset_file,test_frac,seed,method,duration,trainride_start_seconds,signal_delta,spectrum_min_freq,spectrum_max_freq,harmonics_mask,noise_model,guard_band,noise_band,target_frequency,sliding_window_length,sliding_window_threshold,snr_threshold,f1_test,mcc_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,samples_test,samples_trainride_test,samples_no_trainride_test,f1_train,mcc_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,samples_train,samples_trainride_train,samples_no_trainride_train,n_runs,f1_test_std,mcc_test_std,accuracy_test_std,precision_test_std,recall_test_std,f1_train_std,mcc_train_std,accuracy_train_std,precision_train_std,recall_train_std,snr_threshold_std
0,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,0.06475889416803884,9.43138769484694,19.52391428789171,False,median,0.5,3.0,16.7,1,1,0.3451814138718571,0.35007489408937303,0.3323983800249973,0.8785406366375834,0.5778182760719358,0.2823161668067466,365,576,11020,929,12892,1295,11597,0.3647215291685456,0.3482244382830244,0.8931743136783211,0.594652022050359,0.2708488977037575,818,694,23928,2203,27644,3021,24622,10,0.10187062087734254,0.15324824805380835,0.036687189871237605,0.3294135561860141,0.03346983096668496,0.04812094255818289,0.08352913492779827,0.017251930834956217,0.2050499445165514,0.018873270284120114,0.27914495847158016
1,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,1.6921408352953906,15.16199740225414,18.672485343263528,False,interpolate,0.6705141552687582,4.489553961052377,16.7,1,1,,0.0,0.0,0.8829146307423473,0.0,0.0,0,0,11597,1295,12892,1295,11597,0.0,0.0,0.8860270078672432,0.0,0.0,0,0,24622,3021,27644,3021,24622,10,0.0,0.0,0.043239242332513715,0.0,0.0,0.0,0.0,0.02542010096315334,0.0,0.0,
2,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,1.015762006701772,12.217705403044603,35.6104260756053,False,median,0.5,3.0,16.7,1,1,11.516213568593821,0.6352832766028587,0.6222420113630115,0.9310444430537288,0.8156194253089998,0.5335666468349685,691,192,11404,604,12892,1295,11597,0.6106646219058005,0.6078536726164073,0.9316359572077741,0.8608289068566874,0.47565492412855,1437,241,24381,1584,27644,3021,24622,10,0.0344696711036291,0.037686297229748575,0.01932340928663229,0.13573782973165543,0.05087999632110139,0.025835421622296004,0.01260246617085381,0.012710297664844238,0.04140509307084605,0.03880582994361464,1.9953146144091318
3,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,1.9641542532752208,10.24282937479159,17.285489976389492,False,interpolate,1.7459501546620273,1.4378092546327714,16.7,1,1,,0.0,0.0,0.8829146307423473,0.0,0.0,0,0,11597,1295,12892,1295,11597,0.0,0.0,0.8860270078672432,0.0,0.0,0,0,24622,3021,27644,3021,24622,10,0.0,0.0,0.043239242332513715,0.0,0.0,0.0,0.0,0.02542010096315334,0.0,0.0,
4,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,0.1144245471540157,12.466810048510784,27.020713930832514,True,median,0.5,3.0,16.7,1,1,3.9342233818198444,0.7440192464976453,0.7223558706930937,0.9469708299847296,0.8081114423652883,0.7046400166231666,912,255,11341,382,12892,1295,11597,0.726247055206612,0.7011582946163968,0.9441316444109049,0.815059167102387,0.6572801821648586,1986,460,24162,1035,27644,3021,24622,10,0.04142813872512612,0.04299710931032106,0.010639066473357868,0.12901610746387426,0.04690854961585493,0.01787972300433429,0.014123139644001472,0.010034742247364356,0.03916313703019203,0.03544598588844694,0.46091117778832
5,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,0.3931385851545807,11.787815100859182,38.526847862803415,False,median,0.5,3.0,16.7,1,1,8.624777506230688,0.6789032089130209,0.6596381522135337,0.9369850381033604,0.8070841476621441,0.599377802902908,776,223,11373,519,12892,1295,11597,0.6653323982658821,0.6517669533076098,0.9378675208121624,0.850552681043253,0.5474613091354533,1654,294,24328,1367,27644,3021,24622,10,0.033491924566314654,0.039343758706132125,0.0148487750965539,0.13399493117315725,0.043269327141067786,0.01894705276024962,0.012085614325056252,0.011083258119381614,0.029481202905369507,0.027865606895480805,0.895218883895347
6,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,1.617092725132549,13.292852710668166,23.599236128050215,False,median,0.5,3.0,16.7,1,1,7.737485157699912,0.5969712855263258,0.5817253346800029,0.9189760622274952,0.7436702957109786,0.5488822470619061,710,389,11207,584,12892,1295,11597,0.5815717613390059,0.5573120197591249,0.9192651285959077,0.7254601621335979,0.5073102768843829,1533,669,23952,1488,27644,3021,24622,10,0.0667016539438386,0.06802058021807546,0.02134293329574197,0.21929544654987126,0.10745330016343768,0.0549652314571052,0.03150460957801499,0.015925931444086012,0.09998773846635084,0.10132037376843582,3.5415107964300736
7,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,1.5707452873733294,12.703560927260266,32.07443077484393,False,median,0.5,3.0,16.7,1,1,12.421550688367661,0.610714806555687,0.605739068055057,0.9285818183091521,0.8362702218918725,0.4950764645773555,640,163,11433,654,12892,1295,11597,0.5819000739301752,0.5853460706981102,0.928492660270182,0.8652252034013788,0.44158733556767515,1334,218,24404,1686,27644,3021,24622,10,0.03414270384217106,0.038627933904196735,0.02169287789777537,0.14480840945370743,0.05530640674390387,0.03219579911638477,0.014984216781813213,0.014108912302603544,0.04186589679879586,0.0462922540324925,2.420841249190279
8,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,1.8113416345490863,13.176533141991234,17.276392654059197,True,median,0.5,3.0,16.7,1,1,8.562465026520371,0.5606011700159034,0.5592036448786863,0.92085425012349,0.8120542636742007,0.4459687816351338,576,194,11402,718,12892,1295,11597,0.5276225916786794,0.5160959904751653,0.9176713842284501,0.7592519696935602,0.4069105337526933,1230,398,24224,1791,27644,3021,24622,10,0.03319240498908015,0.05790711506366534,0.023872909506010166,0.1884465369664217,0.051636672100833746,0.03426718720750709,0.025196480366821622,0.017311100780443914,0.040815927700724036,0.04552248200649841,1.546186463435627
9,tmd_s60_d5.pkl,0.3,magtrack,fft,5,60,1.6214773094993618,16.187979070224525,24.879324456362887,True,median,0.5,3.0,16.7,1,1,5.6500031197951355,0.6694536246339895,0.6411216040004606,0.9301097507627301,0.730978102147608,0.6408701513701665,830,372,11225,465,12892,1295,11597,0.6466496971641587,0.610689931493329,0.9267357092928405,0.7144032636673734,0.5950372868655454,1798,743,23879,1223,27644,3021,24622,10,0.05164040381226232,0.061655806307089944,0.016841829898013975,0.16451463174574182,0.05427539250639067,0.02684737764756106,0.02606900641376005,0.013131027605602369,0.06079786072933924,0.03938871544687865,0.7343727270784245
