trial_number,dataset_file,test_frac,seed,method,duration,trainride_start_seconds,signal_delta,spectrum_min_freq,spectrum_max_freq,harmonics_mask,noise_model,sliding_window_threshold,guard_band,noise_band,target_frequency,sliding_window_length,snr_threshold,f1_test,mcc_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,samples_test,samples_trainride_test,samples_no_trainride_test,f1_train,mcc_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,samples_train,samples_trainride_train,samples_no_trainride_train,n_runs,f1_test_std,mcc_test_std,accuracy_test_std,precision_test_std,recall_test_std,f1_train_std,mcc_train_std,accuracy_train_std,precision_train_std,recall_train_std,snr_threshold_std
0,tmd_s600_d3.pkl,0.3,magtrack,fft,3,600,0.7096090323344545,9.985001568845146,27.583642472433816,False,median,0.10685855054822052,0.5,3.0,16.7,13,2.988298044268899,0.8154703120614288,0.6103686555046651,0.7861320104940763,0.7469992774187759,0.9294408069155079,18999,7826,12352,1452,40629,20451,20178,0.8683500555801785,0.6912632866279877,0.8467043802535645,0.8123281809746727,0.9331309478121641,44983,10412,29963,3216,88576,48199,40376,10,0.08929426878587944,0.1515379317880887,0.09862741481595426,0.16164015987200697,0.0362293649773486,0.021567989080787855,0.029737656999827677,0.016440090818595963,0.02295775329871727,0.02801994005478086,0.24301688391527085
1,tmd_s600_d3.pkl,0.3,magtrack,fft,3,600,1.151236372782532,12.19696412018378,26.70987002519614,True,median,0.31256008273082303,0.5,3.0,16.7,13,3.3271308195697804,0.8231440489509125,0.6579514037833274,0.8209555971658563,0.8523461099337709,0.8159680708673814,16671,3573,16604,3780,40629,20451,20178,0.8660317468318433,0.728420974040945,0.8631641398762768,0.9224669359678467,0.8176639978723393,39420,3349,37027,8779,88576,48199,40376,10,0.04066098662764422,0.07679305924248542,0.0392008570257323,0.1274752178116789,0.06340166958439541,0.01985248094152094,0.019527072699530926,0.009172894638157276,0.014054197012771913,0.042674159905957264,0.35053887466303796
2,tmd_s600_d3.pkl,0.3,magtrack,fft,3,600,0.45346637315910154,10.58391162064007,34.81335827188842,True,median,0.15779047227472845,0.5,3.0,16.7,13,3.657553893093285,0.7812557790842621,0.542865018767684,0.7496285159971101,0.7514656984824629,0.8652865213581344,17680,7719,12458,2771,40629,20451,20178,0.8711073923580338,0.7190369668153764,0.8610609567921838,0.8683357518080044,0.8796856375361726,42411,6588,33788,5788,88576,48199,40376,10,0.060169475164124915,0.153148642142127,0.0803385111443905,0.17697177338242295,0.09470003818180571,0.034919293774736265,0.05612376882508202,0.028564345836293345,0.03422317742076224,0.0790727700147971,0.9780493938644752
3,tmd_s600_d3.pkl,0.3,magtrack,fft,3,600,0.8060700248946817,11.102244441078836,30.861966733505643,True,median,0.4394115689678597,0.5,3.0,16.7,13,3.5700713995527757,0.7785862311291147,0.569400594964321,0.7662606069465604,0.8156043961089038,0.7877315833586164,16092,5260,14917,4358,40629,20451,20178,0.85372722468806,0.7177778816647449,0.8547189677714266,0.9333720954464073,0.7925293208671553,38209,2912,37464,9990,88576,48199,40376,10,0.05207988461718506,0.15255926215593413,0.07449877195415469,0.17782430448917932,0.0927001413368444,0.031093229200856082,0.027359035880110835,0.016842152435451636,0.03449484238269131,0.07458577602809308,0.7213471682097287
4,tmd_s600_d3.pkl,0.3,magtrack,fft,3,600,1.0411770538233565,7.02051765332155,42.291059367884316,True,median,0.22712560722014194,0.5,3.0,16.7,13,4.218267060264059,0.7729463012176594,0.5403829098999363,0.7381962916564484,0.7531136279340307,0.8616236284596779,17609,8084,12094,2841,40629,20451,20178,0.8606156853778197,0.7101834348452891,0.8520106711603563,0.8662408486927416,0.8701290121667666,41947,6936,33440,6252,88576,48199,40376,10,0.05136014564263647,0.1359868087079072,0.07680563252321905,0.1839506606823232,0.12921763419106055,0.039574308483248576,0.040855325328181064,0.022581019673392027,0.04601411732219794,0.11861559025687791,1.5205040733731228
5,tmd_s600_d3.pkl,0.3,magtrack,fft,3,600,0.3015215480737748,10.25463433483635,17.13819872238248,False,spline,0.17633956214399485,0.5,3.0,16.7,13,1.5165971644580218,0.696910911818514,0.18617458138519552,0.5643538363524049,0.5462287871241949,0.9868964590751924,20181,18151,2026,269,40629,20451,20178,0.7231534407104954,0.18994933429176017,0.5879271131645527,0.5713941289026029,0.9890886349414222,47674,36284,4092,525,88576,48199,40376,10,0.08673098190537604,0.04799780508072644,0.09387661682786622,0.10419680069600466,0.0066391384570560095,0.03909257555550409,0.03921256587976839,0.0418347866041358,0.049584794216245245,0.003531415321777561,0.07362683101860966
6,tmd_s600_d3.pkl,0.3,magtrack,fft,3,600,1.4343546821808433,12.724174322091937,22.296808897031184,False,spline,0.1264114525679899,0.5,3.0,16.7,13,4.292016841876161,0.8110537200678938,0.6102649165567009,0.8042752620524954,0.8019649446212037,0.8306692482952682,16976,4547,15630,3475,40629,20451,20178,0.8229526711861386,0.6025007235823189,0.8059224734903314,0.820320383243455,0.8258233337309291,39806,8740,31636,8392,88576,48199,40376,10,0.03877600075679182,0.04951323896825145,0.02450120609900913,0.09401203522698114,0.04114523942603639,0.013636244941810654,0.0377423761325352,0.014035294522581721,0.021018739766416952,0.010594097131272361,0.1665957225958996
7,tmd_s600_d3.pkl,0.3,magtrack,fft,3,600,1.9637594557148688,13.358306791316046,18.696142837573188,True,spline,0.2885496036585776,0.5,3.0,16.7,13,6191846.383628247,0.4618506098040765,0.24451786992214597,0.591600423356643,0.7389148539847931,0.33940356705860114,6935,2718,17460,13516,40629,20451,20178,0.4895018090269856,0.29582782595930013,0.5989120344991703,0.814561333007663,0.3516689319029044,16950,4075,36301,31249,88576,48199,40376,10,0.04983612420522337,0.10021737659455099,0.05931610848017715,0.1440668540334116,0.034651896899865496,0.017310407749667696,0.03883069271337324,0.02913582033349375,0.07098967572789541,0.020605180900716762,13461931.855375484
8,tmd_s600_d3.pkl,0.3,magtrack,fft,3,600,1.5952171766261822,0.6377991972450161,19.187991782890304,False,spline,0.4966019208175164,0.5,3.0,16.7,13,3.6164497169959793,0.8033097321971947,0.6805583964479955,0.823287204955151,0.9678258679133658,0.6879649028979617,14054,477,19701,6396,40629,20451,20178,0.790633591038935,0.6493325696803927,0.8044758549481124,0.9575676413113167,0.673394040882129,32455,1439,38937,15744,88576,48199,40376,10,0.031070577007609776,0.06588625071857003,0.04603580674367632,0.028463838635917,0.04303761442178237,0.012653828122234147,0.031041032812674722,0.020544274844077812,0.011390390873279648,0.015551103615345261,0.08111264165345276
9,tmd_s600_d3.pkl,0.3,magtrack,fft,3,600,1.2709268346386577,5.603040542990925,29.585196276082414,False,spline,0.49954924529094347,0.5,3.0,16.7,13,3.112670483972657,0.8273200694116596,0.7097980297348289,0.8409718056340034,0.9688191543210293,0.7239373074282933,14787,486,19691,5664,40629,20451,20178,0.8161439313522676,0.681360906156087,0.8250238829136528,0.9604815110094144,0.7095627651024994,34201,1407,38969,13997,88576,48199,40376,10,0.03603392697985241,0.0721419159334545,0.04758789520268572,0.02618644028660489,0.054075319611432256,0.009904431094007004,0.023904742090309943,0.014230768706975934,0.01058391071726985,0.010691874269257353,0.12285263329799861
10,tmd_s600_d3.pkl,0.3,magtrack,fft,3,600,1.3399010070990618,14.63081817701257,20.685494512334547,False,interpolate,0.2574014660226591,0.8266270764304857,4.1502948638268435,16.7,13,3.3069226109509606,0.845218674826835,0.7197884031642174,0.852164650931036,0.9363175550515767,0.7743304222935742,15820,1147,19031,4631,40629,20451,20178,0.8426072912187633,0.7017855136611245,0.8441476080492066,0.9374574053973728,0.7654571864289962,36899,2468,37908,11299,88576,48199,40376,10,0.02605775883776054,0.06026016792345701,0.0375292777505667,0.04876540521628935,0.0534470586766865,0.013946992160434723,0.021194244424283405,0.00929877270667355,0.014027278451581639,0.019872662442499904,0.18579202661455962
