trial_number,dataset_file,test_frac,seed,method,duration,trainride_start_seconds,signal_delta,spectrum_min_freq,spectrum_max_freq,harmonics_mask,noise_model,sliding_window_threshold,guard_band,noise_band,target_frequency,sliding_window_length,snr_threshold,f1_test,mcc_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,samples_test,samples_trainride_test,samples_no_trainride_test,f1_train,mcc_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,samples_train,samples_trainride_train,samples_no_trainride_train,n_runs,f1_test_std,mcc_test_std,accuracy_test_std,precision_test_std,recall_test_std,f1_train_std,mcc_train_std,accuracy_train_std,precision_train_std,recall_train_std,snr_threshold_std
0,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,0.8060700248946817,11.102244441078836,30.861966733505643,True,median,0.4394115689678597,0.5,3.0,16.7,12,4.076108045897135,0.8473572703422478,0.6506343413777871,0.82176488356917,0.8497633607242026,0.8665989249106915,8271,1862,5631,1272,17038,9543,7494,0.9121215580539852,0.8073229433478384,0.9010930626511884,0.9669988695014562,0.8658152113787979,19697,709,14680,3053,38140,22750,15389,5,0.05953048416088404,0.11889587043866201,0.07123077575112785,0.14277673971107008,0.050118683188716866,0.024515484317534312,0.04545117642087221,0.026639316983716976,0.027808545236837474,0.05231168517348637,0.695188586544917
1,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,1.1972906543384023,14.835171976775321,22.063703391700223,False,interpolate,0.5086744557589467,1.0543570451393782,9.977335408040044,16.7,12,3.6787730572123722,0.8544678044419773,0.7239913394793728,0.8504729746111425,0.9826739359101302,0.7560113031035661,7215,127,7366,2328,17038,9543,7494,0.8567758003974527,0.729115629789429,0.8486971594987882,0.9883534098942628,0.756203076212565,17204,202,15187,5546,38140,22750,15389,5,0.009342308395747605,0.053201131425683175,0.030841817327732033,0.01059842673879254,0.013768140516390522,0.008157520616234933,0.014201389833466345,0.009190738919679194,0.004362032531509819,0.012294551217502649,0.13744306715585505
2,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,0.7830020394249624,9.122507184282401,43.98203486768769,False,interpolate,0.7023297173951742,0.6978855189809161,2.6627877979411516,16.7,12,3.195277341844445,0.8336811958561515,0.7031771641955438,0.833654328477515,0.993198691413294,0.7183717108397475,6856,47,7447,2687,17038,9543,7494,0.8372597822751329,0.7068968571508474,0.8315572996719409,0.9946310880958371,0.7229040055480257,16446,88,15301,6303,38140,22750,15389,5,0.004942772103904049,0.051124283877343336,0.032511750011501486,0.0064676418174955275,0.007540783128114418,0.004989373841829377,0.016380816799584183,0.010743668992435007,0.0023615510643282133,0.006633675877126197,0.05120130321003582
3,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,1.093961451449189,7.741811867011698,36.69697235814567,False,interpolate,0.14539057336469688,0.8125271256861001,3.6791549390926734,16.7,12,3.257572896612608,0.9008262205184427,0.7631499969490404,0.8863804800813735,0.8642253292344428,0.943934374276705,9008,1478,6015,535,17038,9543,7494,0.9283859579600747,0.817615691328746,0.9129438859019352,0.9053059805399741,0.9531001145817093,21683,2287,13102,1066,38140,22750,15389,5,0.03616523821078343,0.037603579783151875,0.027807396496208305,0.06831598608867787,0.006417617655520111,0.014869184811091228,0.021527199853094606,0.013150953995778984,0.026841064387275723,0.006901409391625073,0.052083707530861646
4,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,1.9250895475986676,2.502281427268799,44.310757899985916,True,interpolate,0.7711336821738416,1.0647606485674472,2.583716546867296,16.7,12,3.727427498310797,0.7628112799433634,0.6005616958945306,0.7714669924120775,0.9546288774963335,0.6361345022029166,6070,302,7192,3473,17038,9543,7494,0.7785189319549211,0.6232183492998754,0.7794155948023953,0.9753628369825416,0.6478258785517406,14738,372,15017,8011,38140,22750,15389,5,0.011020483683133879,0.0409001988453232,0.039858348922321735,0.03766648725681484,0.01779427026883662,0.010503657859848057,0.011483019601283702,0.010437633376290726,0.012890322439813875,0.01020052579001671,0.13430887859472596
5,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,0.43005832076979883,5.598970683967641,40.57945814783125,True,interpolate,0.7032493069856901,0.3241240872348895,3.702435472325697,16.7,12,3.0021038011356405,0.8470663464843244,0.7217744204122368,0.8452138396353165,0.9959871342965109,0.7369555198614032,7033,28,7465,2510,17038,9543,7494,0.849619214060805,0.7245677162782869,0.8429007277688975,0.9966457344485965,0.7404128530461183,16844,56,15333,5905,38140,22750,15389,5,0.006605756752178167,0.0535341999681704,0.0324981405872999,0.003945952644891777,0.01011656997480729,0.004187060923192846,0.015864395452897532,0.009839563849959578,0.0015600656506644414,0.005945689548658631,0.05310630714221638
6,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,1.0411770538233565,7.02051765332155,42.291059367884316,True,median,0.22712560722014194,0.5,3.0,16.7,12,4.888958826051924,0.8414697429573856,0.6172166694610316,0.8006416218829685,0.8048268988441103,0.9122909784608929,8707,2662,4831,836,17038,9543,7494,0.9107735348482345,0.7897642416507693,0.8956562909602459,0.9174034668223765,0.9094729432763689,20690,1945,13444,2059,38140,22750,15389,5,0.06188213314603528,0.11647043560315061,0.08463243436881107,0.146633917546023,0.06383600432385556,0.02347120560908457,0.03495056428919582,0.02004506410762116,0.03586959634470338,0.06864028608487138,1.3696128844139526
7,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,1.218235038098384,3.2711320399465458,32.32974440805856,False,interpolate,0.7288942712151384,0.8600023490869851,3.474794522398886,16.7,12,3.361581817281656,0.8231454565654331,0.6868115136803835,0.8239299782789254,0.9878832011216296,0.7056510947526742,6734,83,7411,2809,17038,9543,7494,0.8322031438545177,0.698202864929995,0.8268022840084548,0.9912112987630766,0.7172434141818381,16318,144,15245,6432,38140,22750,15389,5,0.008761847930658389,0.05416464384831893,0.035936897063384175,0.009116925813922167,0.013069628727702225,0.008572318949667488,0.016122217132772176,0.01124888028863311,0.003622960739446048,0.012362262116375507,0.10050582222774405
8,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,0.20600051657540086,8.810044304388121,37.222297617348154,False,interpolate,0.8565889662439512,0.877858090690217,9.397493798660726,16.7,12,2.8047505303169307,0.8073756670922103,0.6740922933871026,0.8110864574935899,0.9984489781924566,0.6781068967436291,6472,10,7484,3071,17038,9543,7494,0.8160486046477423,0.6840402383473587,0.814008356405769,0.9994325311580077,0.6897399169984201,15692,8,15381,7058,38140,22750,15389,5,0.01831807140965643,0.06699298947561169,0.04646614606170848,0.001268847395467746,0.026079528588295438,0.013413581128931696,0.018947409326624358,0.013288947478418807,0.0004573084397538064,0.019087396165438888,0.1614036737469511
9,tmd_s900_d10.pkl,0.3,magtrack,fft,10,900,1.9782987358140613,14.15627709791369,28.471959494147846,True,interpolate,0.5313122473974108,1.4306248678755549,8.361092211585662,16.7,12,4.197424970718139,0.821041241422949,0.652784099142022,0.8167553000692408,0.9269243545372046,0.7383660978818793,7046,583,6910,2497,17038,9543,7494,0.8357559383079491,0.6786741073887173,0.8255920709309065,0.9550877055367086,0.7431148836839108,16906,802,14587,5843,38140,22750,15389,5,0.018053877036672227,0.021618190447379962,0.016081460511434557,0.05391593971143375,0.009850354720298079,0.011704909577694943,0.009360494023187026,0.0042524490383360845,0.02207704625578686,0.010122883712813219,0.08544902132339574
