trial_number,dataset_file,test_frac,seed,method,duration,trainride_start_seconds,signal_delta,spectrum_min_freq,spectrum_max_freq,harmonics_mask,noise_model,sliding_window_threshold,guard_band,noise_band,target_frequency,sliding_window_length,snr_threshold,f1_test,mcc_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,samples_test,samples_trainride_test,samples_no_trainride_test,f1_train,mcc_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,samples_train,samples_trainride_train,samples_no_trainride_train,n_runs,f1_test_std,mcc_test_std,accuracy_test_std,precision_test_std,recall_test_std,f1_train_std,mcc_train_std,accuracy_train_std,precision_train_std,recall_train_std,snr_threshold_std
0,tmd_s0_d10.pkl,0.3,magtrack,fft,10,0,1.1972906543384023,14.835171976775321,22.063703391700223,False,interpolate,0.5086744557589467,1.0543570451393782,9.977335408040044,16.7,6,3.2524493279822138,0.8673014655439257,0.5366893001466722,0.79689102982387,0.9952231440200677,0.7686838698350633,34049,167,6856,10267,51339,44316,7023,0.8788681350832899,0.5578901329068711,0.8120601707160565,0.995841978957117,0.7865465957390724,81469,342,15518,22107,119437,103576,15860,5,0.011094690273223132,0.05880296653213474,0.017565235363582624,0.0029653616609399145,0.017217884345326045,0.006060805356912924,0.015059172108945534,0.007432630854157182,0.0014414967525161358,0.00999835616046959,0.06418687989793849
1,tmd_s0_d10.pkl,0.3,magtrack,fft,10,0,0.8060700248946817,11.102244441078836,30.861966733505643,True,median,0.4394115689678597,0.5,3.0,16.7,6,3.133417626789824,0.9335869820983799,0.49013727118723,0.8856214021998052,0.9300636719439938,0.9409771053458359,41645,3213,3810,2670,51339,44316,7023,0.9555996434892376,0.7312492439318662,0.9255763662270642,0.9749700660806744,0.9385570629484468,97268,2528,13332,6307,119437,103576,15860,5,0.01509702859292513,0.09475511238735976,0.020584650579093696,0.03831602070808372,0.049054167901082475,0.024514927016109515,0.08303051068857523,0.038634567365566155,0.010296652298982379,0.048766693609404756,0.6259083471371598
2,tmd_s0_d10.pkl,0.3,magtrack,fft,10,0,1.218235038098384,3.2711320399465458,32.32974440805856,False,interpolate,0.7288942712151384,0.8600023490869851,3.474794522398886,16.7,6,3.0320322262462858,0.8444363306587205,0.5051246535808442,0.7668211146717313,0.9963482798072967,0.7329781293893485,32456,122,6901,11860,51339,44316,7023,0.8580253663801642,0.5252167475047511,0.7839068868521111,0.9966536150820101,0.753340816813445,78028,264,15596,25548,119437,103576,15860,5,0.014311287274116433,0.059805450367606795,0.022219383565667626,0.00265324595332458,0.021377752670827154,0.007596429705469678,0.016408538783149698,0.009427835058406034,0.0013052910576952833,0.012021335899509211,0.0694660494776929
3,tmd_s0_d10.pkl,0.3,magtrack,fft,10,0,1.093961451449189,7.741811867011698,36.69697235814567,False,interpolate,0.14539057336469688,0.8125271256861001,3.6791549390926734,16.7,6,2.9274661298820224,0.9439033017029871,0.5276115112048017,0.9011294302069057,0.9214431713808151,0.9679766536298077,42884,3674,3349,1432,51339,44316,7023,0.9501119883551427,0.5744607458658851,0.9118109558575664,0.9318223158693868,0.9692368616654707,100397,7371,8489,3179,119437,103576,15860,5,0.012036051019193618,0.02086048015199188,0.01933988666042854,0.024673763655710935,0.009599633549866298,0.004647527467335607,0.03544822180825606,0.007145491908139452,0.008982006268483443,0.007448363463699666,0.08602032168532962
4,tmd_s0_d10.pkl,0.3,magtrack,fft,10,0,1.9250895475986676,2.502281427268799,44.310757899985916,True,interpolate,0.7711336821738416,1.0647606485674472,2.583716546867296,16.7,6,3.387332183377578,0.8187946465520648,0.45183871058827296,0.7329126352430728,0.9881064589414793,0.699471726713316,30961,393,6629,13354,51339,44316,7023,0.8325890122327573,0.4641374574649756,0.7490721000146745,0.9876247985562039,0.7196819184393368,74546,944,14916,29030,119437,103576,15860,5,0.019707174004916506,0.060501922886869536,0.027518730429829726,0.012063681555433045,0.027218683122821535,0.006467091399289531,0.019637687947290962,0.007653221400069283,0.00539680356968944,0.009201078251159914,0.07048202548770578
5,tmd_s0_d10.pkl,0.3,magtrack,fft,10,0,0.7830020394249624,9.122507184282401,43.98203486768769,False,interpolate,0.7023297173951742,0.6978855189809161,2.6627877979411516,16.7,6,2.8183549399081427,0.8525421359254102,0.5207065822278646,0.7777677112750565,0.997675583689529,0.7446931770126863,32960,79,6944,11356,51339,44316,7023,0.8656674623101219,0.5403330317640185,0.7943369941504625,0.9977460476339726,0.7645258203843734,79204,180,15680,24372,119437,103576,15860,5,0.017766897432083834,0.06261148802530142,0.025546057918210602,0.0018636010230039448,0.026909963296682618,0.006304717839064998,0.013535345965231316,0.00689419853969267,0.0008330976509367013,0.009918467079760468,0.0911064627560678
6,tmd_s0_d10.pkl,0.3,magtrack,fft,10,0,1.9782987358140613,14.15627709791369,28.471959494147846,True,interpolate,0.5313122473974108,1.4306248678755549,8.361092211585662,16.7,6,3.4440637996830503,0.8678787324956531,0.5056662753963177,0.7955382297469199,0.9822100590837705,0.7779660662760269,34463,658,6364,9852,51339,44316,7023,0.8800035458640695,0.5236301893221676,0.8118514360034862,0.9828781403310922,0.7967306141890265,82516,1447,14413,21059,119437,103576,15860,5,0.01792125759574172,0.07288313742543946,0.028435305081397952,0.015140954620987251,0.02810371807052325,0.010054970822839543,0.021857866357105866,0.011849525639325866,0.0062295432503993555,0.014627901530815026,0.1419260412116031
7,tmd_s0_d10.pkl,0.3,magtrack,fft,10,0,0.598738667496701,9.345547282307587,24.386727862250652,True,interpolate,0.5306980221383981,0.5113077324015349,7.897537687724838,16.7,6,2.6329884272110022,0.9187511493903049,0.6381272681307737,0.86979792250205,0.9939515602324611,0.854307317075037,37835,229,6793,6480,51339,44316,7023,0.9261266005830026,0.6637060562197883,0.8804136071526123,0.9961036871912661,0.8654879257683208,89659,354,15506,13917,119437,103576,15860,5,0.010922099928915399,0.054329511429690114,0.01548155092481785,0.0019858397182940675,0.018519481604545113,0.00863574901539558,0.022544062441895052,0.012707940005711417,0.0014135065956095328,0.01579060802029662,0.10757906032364241
8,tmd_s0_d10.pkl,0.3,magtrack,fft,10,0,1.0411770538233565,7.02051765332155,42.291059367884316,True,median,0.22712560722014194,0.5,3.0,16.7,6,2.7357711929722526,0.9509582955862268,0.5511916695940673,0.9113892778704645,0.9081961717177975,0.9984616971818452,44250,4490,2532,66,51339,44316,7023,0.9666190103230333,0.7111637284594998,0.9401855062352926,0.9375544615346216,0.9976962050713368,103336,6888,8972,240,119437,103576,15860,5,0.015530469286117116,0.11732060032584977,0.027567518430917277,0.028638695036299996,0.0007410466654322671,0.008039784449747378,0.08216416499307294,0.01468343142291443,0.015557190328054112,0.001098197626653057,0.0792342762070345
9,tmd_s0_d10.pkl,0.3,magtrack,fft,10,0,0.43005832076979883,5.598970683967641,40.57945814783125,True,interpolate,0.7032493069856901,0.3241240872348895,3.702435472325697,16.7,6,2.588963172364037,0.8683575522979039,0.5472829155992067,0.79897710428242,0.9984447243090532,0.768570561049461,34030,54,6968,10285,51339,44316,7023,0.8807731230908586,0.5683679503089452,0.815036790845436,0.9984717280848706,0.7879129948262003,81618,125,15735,21958,119437,103576,15860,5,0.015014334223733848,0.0604737790036016,0.02160181722030828,0.001254225083944576,0.02339595256455606,0.003236042071582143,0.014741377678800953,0.003215559288517604,0.0005881688299634629,0.005257549838568592,0.06095862358581393
