seed,dataset_file,accuracy,f1,mcc,precision,recall,specificity,negative_predictive_value,prevalence,TP,FP,TN,FN,samples
7467074,long_distance_coloc_first600_20s_window1_10Hz.pkl,0.7872395833333333,0.7807300053676866,0.5754944837328938,0.8053709856035437,0.7575520833333333,0.8169270833333333,0.7711406096361848,0.5,2909,703,3137,931,7680
7467074,long_distance_coloc_first300_20s_window1_10Hz.pkl,0.8071278825995807,0.8079331941544885,0.61427736378794,0.8045738045738046,0.8113207547169812,0.8029350104821803,0.8097251585623678,0.5,1935,470,1915,450,4770
7467074,long_distance_coloc_first300_20s_window10_10Hz.pkl,0.7906926406926407,0.7975716977182332,0.5827327454024533,0.7721929468990677,0.8246753246753247,0.7567099567099567,0.8118903855085927,0.5,1905,562,1748,405,4620
7467074,long_distance_coloc_first300_20s_window100_10Hz.pkl,0.5489451476793249,0.6845677190911773,0.1917777195668398,0.5263157894736842,0.9789029535864979,0.1189873417721519,0.8493975903614458,0.5,2320,2088,282,50,4740
7467074,long_distance_coloc_first300_20s_window5_10Hz.pkl,0.7982683982683982,0.8019549511262218,0.5969506360275437,0.7875626043405676,0.8168831168831169,0.7796536796536796,0.8098021582733813,0.5,1887,509,1801,423,4620
7467074,long_distance_coloc_first600_20s_window100_10Hz.pkl,0.5444862155388471,0.6846534223995836,0.1942796141672401,0.523550484277564,0.9889724310776943,0.1,0.9006772009029346,0.5,3946,3591,399,44,7980
7467074,long_distance_coloc_first600_20s_window10_10Hz.pkl,0.7989974937343358,0.8016815034619189,0.5982141710354753,0.7911176183504148,0.812531328320802,0.7854636591478696,0.8073158165893869,0.5,3242,856,3134,748,7980
7467074,long_distance_coloc_first60_30s_window5_10Hz.pkl,0.7953125,0.8093158660844251,0.5971005188019457,0.7574931880108992,0.86875,0.721875,0.8461538461538461,0.5,278,89,231,42,640
7467074,long_distance_coloc_first60_30s_window100_10Hz.pkl,0.5484848484848485,0.6823027718550106,0.17996850826633903,0.5263157894736842,0.9696969696969697,0.12727272727272726,0.8076923076923077,0.5,320,288,42,10,660
7467074,long_distance_coloc_first60_30s_window1_10Hz.pkl,0.7736686390532544,0.7817403708987162,0.5488406210704316,0.7548209366391184,0.8106508875739645,0.7366863905325444,0.7955271565495208,0.5,274,89,249,64,676
