seed,dataset_file,accuracy,f1,mcc,precision,recall,specificity,negative_predictive_value,prevalence,TP,FP,TN,FN,samples
7467074,all_coloc_first0_10s_window1_10Hz.pkl,0.6566770918126901,0.7095874028303767,0.3364876261445612,0.6148338880864159,0.8388672293389315,0.4744869542864487,0.7464950121326503,0.5,19580,12266,11075,3761,46682
7467074,all_coloc_first0_10s_window10_10Hz.pkl,0.6343304911160863,0.7015647779181651,0.3009409030749809,0.5926047550243005,0.859619873291097,0.4090411089410756,0.7444945378879834,0.5,18046,12406,8587,2947,41986
7467074,all_coloc_first0_10s_window5_10Hz.pkl,0.6493593102462726,0.7041398713826367,0.3215808751838291,0.6089964195084646,0.8345162673272043,0.4642023531653408,0.7371964596414252,0.5,17519,11248,9745,3474,41986
7467074,all_coloc_first0_5s_window10_10Hz.pkl,0.5699822154471544,0.6849868321871597,0.20484232696053722,0.540448464735165,0.9350609756097561,0.20490345528455284,0.7593446944732134,0.5,36804,31295,8065,2556,78720
7467074,all_coloc_first0_5s_window5_10Hz.pkl,0.5785569105691057,0.6868297840205407,0.21748522209298143,0.5464431627012737,0.9242886178861789,0.23282520325203251,0.7546113306982872,0.5,36380,30196,9164,2980,78720
7467074,all_coloc_first0_10s_window50_10Hz.pkl,0.5311056066307817,0.6750623070955816,0.13419857365481894,0.5164923978380562,0.9741342352212642,0.08807697804029915,0.7729933110367893,0.5,20450,19144,1849,543,41986
7467074,all_coloc_first0_5s_window1_10Hz.pkl,0.5827503015681544,0.6907616160466836,0.231292064004857,0.5487178162848952,0.9320320210549402,0.23346858208136856,0.7745197904540163,0.5,42496,34950,10645,3099,91190
7467074,all_coloc_first0_10s_window100_20Hz.pkl,0.5276528443631691,0.6753074675545288,0.13304404978437565,0.5144816875889737,0.9824049819601641,0.07290070676617408,0.8055707263790278,0.5,19877,18758,1475,356,40466
7467074,all_coloc_first0_5s_window10_20Hz.pkl,0.5593495934959349,0.6810826713739335,0.18377083357966234,0.5336560627017058,0.9410569105691057,0.17764227642276423,0.7508591065292096,0.5,37040,32368,6992,2320,78720
7467074,all_coloc_first0_5s_window50_20Hz.pkl,0.520020325203252,0.6715348772515474,0.10377222427495064,0.5104133629347711,0.9813008130081301,0.05873983739837398,0.7585301837270341,0.5,38624,37048,2312,736,78720
