dataset_file,distance_function,radius,n_segment_ids,n_ids,n_calculated_pairs,duration,trainride_start_seconds,window_size,sampling_rate,threshold,test_frac,seed,metric,n_runs,n_workers,mcc_train,f1_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,mcc_test,f1_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,n_pairs_test,mrr_test,mcc_train_std,f1_train_std,accuracy_train_std,precision_train_std,recall_train_std,TP_train_std,FP_train_std,TN_train_std,FN_train_std,mcc_test_std,f1_test_std,accuracy_test_std,precision_test_std,recall_test_std,TP_test_std,FP_test_std,TN_test_std,FN_test_std,n_pairs_test_std,mrr_test_std,threshold_std,total_distance_time_s,total_cpu_hours
all_coloc_first10_5s_window1_10Hz.pkl,ddtw,1,357,838,350703,5,10,1,10.0,3.736354022255557,0.3,magtrack,mcc,10,256,0.07397500760766945,0.013781161895118476,0.9974212487430526,0.8410714285714285,0.006963759544897008,6.2,2.2,344407.6,888.4,0.06173509081937826,0.011874813563713647,0.9939905690410622,0.67,0.006001783125528946,2.2,1.2,61854.4,373.2,62231.0,0.07086466350116258,0.012552411032818222,0.004303679549182915,2.4782305206971052e-05,0.21583517189876963,0.002199280822687337,1.8867962264113207,3.280243893371345,6513.545136099081,26.257189491642094,0.03840068555597894,0.007684824130818641,0.00016544841287316646,0.4243819034784589,0.0038851099792107276,1.4,2.4,2741.473005520937,25.98768939324926,2766.965883418153,0.011348974552581447,0.9425300608411004,22.902,0.0414
all_coloc_first10_5s_window5_10Hz.pkl,ddtw,1,364,852,362526,5,10,5,10.0,2.218448698371705,0.3,magtrack,mcc,10,256,0.0672679160102058,0.010662680250139119,0.9974839733548079,0.9266666666666665,0.0053820963390741675,4.8,1.0,355543.6,896.0,0.06446210218418783,0.010706958352485096,0.994095403992523,0.8,0.005394563610081582,2.0,0.4,64168.8,381.2,64552.4,0.06318590233646709,0.011984844159040305,0.005830982627498077,2.697859925448536e-05,0.14742229591663988,0.002999074884989246,2.5612496949731396,2.4083189157584592,7208.552021037235,28.042824394129774,0.03475334419355252,0.006948089301819814,0.00016088163196436168,0.4,0.0035131566849923583,1.2649110640673518,1.2000000000000002,3043.710262163598,27.337885799746843,3070.275140765075,0.010373761502009544,0.9840646279320884,21.794,0.0418
all_coloc_first10_5s_window10_10Hz.pkl,ddtw,1,364,852,362526,5,10,10,10.0,2.0798278634554612,0.3,magtrack,mcc,10,256,0.06684267469916183,0.010656661048887125,0.9974833997794257,0.9212121212121211,0.0053820963390741675,4.8,1.2,355543.4,896.0,0.06447967837285362,0.010706958352485096,0.9940983512368495,0.8,0.005394563610081582,2.0,0.2,64169.0,381.2,64552.4,0.0680202365048282,0.01119895144486477,0.005814219028336906,2.646064829404198e-05,0.15988976919118691,0.002999074884989246,2.5612496949731396,2.9933259094191533,7208.766610176806,28.042824394129774,0.03472046403789269,0.006948089301819814,0.00015694219818764878,0.4,0.0035131566849923583,1.2649110640673518,0.6000000000000001,3043.9255247131127,27.337885799746843,3070.275140765075,0.010425428382066391,0.9667787989329275,22.744,0.0429
all_coloc_first10_5s_window1_20Hz.pkl,ddtw,1,357,838,350703,5,10,1,20.0,3.65128582070831,0.3,magtrack,mcc,10,256,0.0644255014283473,0.009781748165852994,0.9974190015097442,0.9454545454545455,0.0049361173610099,4.4,1.2,344408.6,890.2,0.06296303004149914,0.011857482598059802,0.9939836701966221,0.711111111111111,0.006001783125528946,2.2,1.6,61854.0,373.2,62231.0,0.06231991502381138,0.012903003074234485,0.0051129931058923545,2.9002410538855316e-05,0.16363636363636364,0.00262231180557307,2.3323807579381204,3.6000000000000005,6511.914683102044,25.88358553214759,0.03893577897153319,0.007687440189679752,0.00016681074305299778,0.4422166387140533,0.0038851099792107276,1.4,4.800000000000001,2742.165713446217,25.98768939324926,2766.965883418153,0.009231063972835194,1.4380779917098208,21.584,0.0816
all_coloc_first10_5s_window5_20Hz.pkl,ddtw,1,364,852,362526,5,10,5,20.0,2.852363872170886,0.3,magtrack,mcc,10,256,0.06577147685995254,0.008900260494692525,0.9974845469301898,1.0,0.004472293454556582,4.0,0.0,355544.6,896.8,0.06452210891100434,0.010706958352485096,0.9941012984811761,0.8,0.005394563610081582,2.0,0.0,64169.2,381.2,64552.4,0.05581532714929781,0.011626976432855008,0.002993527330509995,2.7594302387799422e-05,0.0,0.0015105408092604396,1.2649110640673518,0.0,7207.70959736864,27.337885799746843,0.034641290452927194,0.006948089301819814,0.00015341173398599172,0.4,0.0035131566849923583,1.2649110640673518,0.0,3044.1408903005786,27.337885799746843,3070.275140765075,0.010802220686867045,0.16193213443869373,22.767,0.088
all_coloc_first10_5s_window10_20Hz.pkl,ddtw,1,364,852,362526,5,10,10,20.0,2.708556242912355,0.3,magtrack,mcc,10,256,0.06755815712425411,0.009801077442476205,0.9974851205055721,0.9800000000000001,0.004931009050886857,4.4,0.2,355544.4,896.4,0.0624576684552941,0.01070231323914433,0.9940983512368495,0.75,0.005394563610081582,2.0,0.2,64169.0,381.2,64552.4,0.05643917143292575,0.01306171929110689,0.004084447702898388,2.818489406342519e-05,0.05999999999999999,0.002069031650236875,1.7435595774162693,0.6000000000000001,7207.924017357564,27.782008566696543,0.03489954087997412,0.006948801951823263,0.000156387750765726,0.4031128874149275,0.0035131566849923583,1.2649110640673518,0.6000000000000001,3043.9255247131127,27.337885799746843,3070.275140765075,0.010757522492897038,1.0574316752709607,24.839,0.0853
all_coloc_first10_5s_window50_20Hz.pkl,ddtw,1,364,852,362526,5,10,50,20.0,2.1925549828947384,0.3,magtrack,mcc,10,256,0.07327508688862125,0.012404005013713571,0.9974867884159314,0.8966666666666667,0.006250999909892333,5.6,0.8,355543.8,895.2,0.062177742711731376,0.010700158406884661,0.9940891111476612,0.75,0.005394563610081582,2.0,0.8,64168.4,381.2,64552.4,0.08655313215695165,0.014115485775129683,0.004062032076636569,2.7029926975870817e-05,0.13012814197295425,0.0020582894550763586,1.7435595774162693,0.9797958971132712,7207.872498872327,27.38174574419973,0.03466010337755166,0.006947151323608085,0.00016029959674891716,0.4031128874149275,0.0035131566849923583,1.2649110640673518,1.8330302779823362,3043.805880801205,27.337885799746843,3070.275140765075,0.01578891628173013,0.540318283936105,25.269,0.0862
all_coloc_first10_5s_window1_40Hz.pkl,ddtw,1,357,838,350703,5,10,1,40.0,4.886952378697201,0.3,magtrack,mcc,10,256,0.06400856734998642,0.008500248208856347,0.9974207339514475,1.0,0.004270928890943381,3.8,0.0,344409.8,890.8,0.06798037930905484,0.011902294249089068,0.9940095802886031,0.8,0.006001783125528946,2.2,0.0,61855.6,373.2,62231.0,0.040678511153164995,0.012760884823475906,0.003243040063298052,2.7693501472011595e-05,0.0,0.0016360034227540189,1.4,0.0,6512.101685324024,25.98768939324926,0.03667206447152482,0.007679898538614364,0.00015834675004175518,0.4,0.0038851099792107276,1.4,0.0,2741.8863287889963,25.98768939324926,2766.965883418153,0.006425086705451141,0.23817885567078828,24.617,0.1567
all_coloc_first10_5s_window5_40Hz.pkl,ddtw,1,364,852,362526,5,10,5,40.0,4.019519004443085,0.3,magtrack,mcc,10,256,0.06577147685995254,0.008900260494692525,0.9974845469301898,1.0,0.004472293454556582,4.0,0.0,355544.6,896.8,0.06452210891100434,0.010706958352485096,0.9941012984811761,0.8,0.005394563610081582,2.0,0.0,64169.2,381.2,64552.4,0.04327406347061044,0.011626976432855008,0.002993527330509995,2.7594302387799422e-05,0.0,0.0015105408092604396,1.2649110640673518,0.0,7207.70959736864,27.337885799746843,0.034641290452927194,0.006948089301819814,0.00015341173398599172,0.4,0.0035131566849923583,1.2649110640673518,0.0,3044.1408903005786,27.337885799746843,3070.275140765075,0.007206063257743473,0.06381658991743802,26.133,0.1643
all_coloc_first10_5s_window10_40Hz.pkl,ddtw,1,364,852,362526,5,10,10,40.0,3.0215529161595915,0.3,magtrack,mcc,10,256,0.06577147685995254,0.008900260494692525,0.9974845469301898,1.0,0.004472293454556582,4.0,0.0,355544.6,896.8,0.06452210891100434,0.010706958352485096,0.9941012984811761,0.8,0.005394563610081582,2.0,0.0,64169.2,381.2,64552.4,0.05313463045674947,0.011626976432855008,0.002993527330509995,2.7594302387799422e-05,0.0,0.0015105408092604396,1.2649110640673518,0.0,7207.70959736864,27.337885799746843,0.034641290452927194,0.006948089301819814,0.00015341173398599172,0.4,0.0035131566849923583,1.2649110640673518,0.0,3044.1408903005786,27.337885799746843,3070.275140765075,0.012231689975529769,0.14133728888444663,25.362,0.1654
all_coloc_first10_5s_window50_40Hz.pkl,ddtw,1,364,852,362526,5,10,50,40.0,2.652247994779473,0.3,magtrack,mcc,10,256,0.0687331027382164,0.018331322646323516,0.9974556897659138,0.6926887536623846,0.00951820956698994,8.6,15.0,355529.6,892.2,0.055531020645824804,0.011675658169624164,0.9940762143537573,0.575,0.005918123819505667,2.2,1.8,64167.4,381.0,64552.4,0.07813855363932838,0.01333981577184461,0.009827461766160471,5.781203092412456e-05,0.34175617884424875,0.005292214826313478,4.903060268852505,18.788294228055936,7200.243595879239,25.79069599681249,0.03601766466464947,0.008805293218410063,0.00014780943204462853,0.39869579046352294,0.004486107615531767,1.6613247725836149,1.886796226411321,3044.491951048647,27.367864366808018,3070.275140765075,0.013576432643268778,1.2286883993998525,24.039,0.1576
all_coloc_first10_5s_window100_40Hz.pkl,ddtw,1,363,850,360825,5,10,100,40.0,1.8226265046079255,0.3,magtrack,mcc,10,256,0.06876530255216794,0.01678365754022273,0.9974565212150208,0.691510989010989,0.008580294702866571,7.8,7.8,353737.8,894.4,0.05499786041784963,0.011507609592587972,0.994105777437295,0.5583333333333333,0.00582887857592685,2.2,1.6,63908.4,377.6,64289.8,0.10348537018995733,0.012503448592021143,0.00793341409850773,3.053684534530532e-05,0.2685139283525231,0.004116380470207242,3.8418745424597094,7.87146746166177,6262.635576177174,20.62619693496598,0.03416500709270776,0.0071023702292872005,0.00011881251122564404,0.3944933459514875,0.0036009401956303587,1.4,2.1540659228538015,2641.587825532212,23.113632341109867,2663.192137266855,0.015387284471691354,0.8782827871198857,24.184,0.1668
all_coloc_first10_5s_window150_40Hz.pkl,ddtw,1,363,850,360825,5,10,150,40.0,1.4552924314165607,0.3,magtrack,mcc,10,256,0.0668058310303549,0.017031743265524903,0.9973743631874651,0.690051615051615,0.009500190099612196,8.6,37.8,353707.8,893.6,0.05499957014391136,0.014593117603509623,0.9940121353809236,0.5472868217054263,0.007934141733821586,3.0,8.4,63901.6,376.8,64289.8,0.11391855665400955,0.012975237197457041,0.010094754379685171,0.0002596344270471141,0.31366191314980174,0.007536872473867362,6.814690014960328,99.59297163956901,6260.596294283796,22.659214461229677,0.03108384242889622,0.013862567897308848,0.00033761542006528305,0.4043949112886874,0.008522596433764443,3.255764119219941,21.923503369671554,2642.3793520234753,23.292917378465066,2663.192137266855,0.01786272355209036,0.7725840419711747,24.216,0.163
all_coloc_first10_5s_window1_60Hz.pkl,ddtw,1,357,776,300700,5,10,1,60.0,5.849482474025367,0.3,magtrack,mcc,10,256,0.07012321000392682,0.010187688537823926,0.9975024664020629,1.0,0.005123749037068739,3.8,0.0,295977.2,741.2,0.0751287018452594,0.01446596279296893,0.9942619005481819,0.8,0.007307051452981113,2.2,0.0,52755.2,304.8,53062.2,0.046536002212880866,0.013918129216133774,0.00388050993194719,2.523023281060279e-05,0.0,0.0019611834782647065,1.4,0.0,5363.527287149755,20.653329029480936,0.040263853675266734,0.009149185604308448,0.00015480723934111398,0.4,0.004638342487442192,1.4,0.0,2246.999457053784,20.65332902948094,2266.8754619519796,0.00662788716173841,0.4039388999076859,22.409,0.2001
all_coloc_first10_5s_window5_60Hz.pkl,ddtw,1,364,790,311655,5,10,5,60.0,4.646108790694127,0.3,magtrack,mcc,10,256,0.07266612692528883,0.010856428658430872,0.9975787984450504,1.0,0.00546127912167896,4.0,0.0,302583.2,734.6,0.06990377335145095,0.012563784112616421,0.9942826710800967,0.8,0.006338808865512054,2.0,0.0,56510.8,325.4,56838.2,0.043378896830763805,0.012951148590068379,0.0036778826136390705,2.8091463838417205e-05,0.0,0.0018596610774328072,1.2649110640673518,0.0,7895.628015553924,26.982216365599026,0.03763624729034733,0.008215056448627711,0.00014140412782532455,0.4,0.00416243444429622,1.2649110640673518,0.0,3383.9270914131703,26.982216365599026,3409.913600078454,0.005822180527173013,0.39402757918998405,23.21,0.2111
all_coloc_first10_5s_window10_60Hz.pkl,ddtw,1,364,790,311655,5,10,10,60.0,3.6826585512194328,0.3,magtrack,mcc,10,256,0.07266612692528883,0.010856428658430872,0.9975787984450504,1.0,0.00546127912167896,4.0,0.0,302583.2,734.6,0.06990377335145095,0.012563784112616421,0.9942826710800967,0.8,0.006338808865512054,2.0,0.0,56510.8,325.4,56838.2,0.053059026532415655,0.012951148590068379,0.0036778826136390705,2.8091463838417205e-05,0.0,0.0018596610774328072,1.2649110640673518,0.0,7895.628015553924,26.982216365599026,0.03763624729034733,0.008215056448627711,0.00014140412782532455,0.4,0.00416243444429622,1.2649110640673518,0.0,3383.9270914131703,26.982216365599026,3409.913600078454,0.012723667208780588,0.26255528073743745,23.463,0.2117
